file,utterance_id,start_ms,end_ms,ref,mb,gl,ft
synthetic_bangla_glossed.eaf,574,1209727,1211677,iɲ d̪ɔ bed͡ʒʰa ɲɛla,iɲ d̪ɔ bed͡ʒʰa ɲɛl-a,1SG TOP target see-FIN,I will see the target.
synthetic_see_paradigm.eaf,575,1211677,1212838,oŋkoko ɾɔɽɛd̪a,oŋko-ko ɾɔɽ-ɛ-d̪a,3PL.ANIM-3PL.ANIM speak-PROG-FIN,They are speaking.
synthetic_bangla_glossed.eaf,576,1212838,1215432,apɛ d̪ɔ haku aɾ gʰuɽi kiɾiɲa,apɛ d̪ɔ haku aɾ gʰuɽi kiɾiɲ-a,2PL TOP fish and watch buy-FIN,You all will buy the fish and the watch.
synthetic_see_paradigm.eaf,577,1215432,1217903,oŋko d̪ɔ ɖak̚t̪aɾ bako gɔɽɔa,oŋko d̪ɔ ɖak̚t̪aɾ ba-ko gɔɽɔ-a,3PL.ANIM TOP doctor NEG-3PL.ANIM help-FIN,They do not help the doctor.
synthetic_bangla_glossed.eaf,578,1217903,1219868,alɛ d̪ɔ t̪o̯͡a ɲua,alɛ d̪ɔ t̪o̯͡a ɲu-a,1PL.EXCL TOP milk drink-FIN,We will drink the milk.
synthetic_texts_glossed.eaf,579,1219868,1221429,ɔɽaʔɾɛ bʰeo̯na menaa,ɔɽaʔ-ɾɛ bʰeo̯na mena-a,house-LOC apparition exist-FIN,There is an apparition in the house.
synthetic_school_dialogue_glossed.eaf,580,1221429,1224029,t̪eheɲɾɛ alɛ haku ɟɔmkat̪ɛ ɟɔlaɾɛ calaʔa,t̪eheɲ-ɾɛ alɛ haku ɟɔm-kat̪ɛ ɟɔla-ɾɛ calaʔ-a,today-LOC 1PL.EXCL fish eat-CVB lake-LOC go-FIN,"Today, we eat the fish and then go to the lake."
synthetic_texts_glossed.eaf,581,1224029,1225862,basɾɛ basaŋ menaa,bas-ɾɛ basaŋ mena-a,dwelling.place-LOC cooked.food exist-FIN,There is a cooked food in the dwelling place.
synthetic_bangla_glossed.eaf,582,1225862,1227804,oŋko d̪ɔ ɾan kiɾiɲa,oŋko d̪ɔ ɾan kiɾiɲ-a,3PL.ANIM TOP medicine buy-FIN,They will buy the medicine.
synthetic_new_glossed.eaf,583,1227804,1229968,oŋko d̪ɔ ɲɛlɛɾasa ɟɔmakada,oŋko d̪ɔ ɲɛlɛɾasa ɟɔm-akad-a,3PL.ANIM TOP honey eat-PRF-FIN,They have eaten the honey.
synthetic_paradigm_glossed.eaf,584,1229968,1231926,alɛaʔ bʰiduk d̪ɔ ɾɘskɘa,alɛ-aʔ bʰiduk d̪ɔ ɾɘskɘ-a,1PL.EXCL-GEN pretender TOP happy-FIN,Our pretender is happy.
synthetic_texts_glossed.eaf,585,1231926,1233581,sɔhɔɽɾɛ ɔɽaʔ menaa,sɔhɔɽ-ɾɛ ɔɽaʔ mena-a,town-LOC house exist-FIN,There is a house in the town.
synthetic_bangla_glossed.eaf,586,1233581,1235547,iɲ d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa,iɲ d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲ-a,1SG TOP mobile.phone sell-FIN,I will sell the mobile phone.
synthetic_new_glossed.eaf,587,1235547,1237563,iɲ d̪ɔ sikʰnɘt̪ paɽha͡o̯akada,iɲ d̪ɔ sikʰnɘt̪ paɽha͡o̯-akad-a,1SG TOP lesson study-PRF-FIN,I have studied the lesson.
synthetic_texts_glossed.eaf,588,1237563,1239169,baɾsa d̪ɔ sapʰaa,baɾsa d̪ɔ sapʰa-a,confidence TOP clean-FIN,The confidence is clean.
synthetic_school_dialogue_glossed.eaf,589,1239169,1241871,ɔkt̪ɛɾɛ oŋko t̪o̯͡a ɲukat̪ɛ ɟɔlaɾɛ gat̪ea,ɔkt̪ɛ-ɾɛ oŋko t̪o̯͡a ɲu-kat̪ɛ ɟɔla-ɾɛ gat̪e-a,time-LOC 3PL.ANIM milk drink-CVB lake-LOC play-FIN,"At that time, they drink the milk and then play in the lake."
synthetic_paradigm_glossed.eaf,590,1241871,1243744,alɛaʔ bʰut͡ʃampa d̪ɔ mɔ̃ɟa,alɛ-aʔ bʰut͡ʃampa d̪ɔ mɔ̃ɟ-a,1PL.EXCL-GEN earthquake TOP good-FIN,Our earthquake is good.
synthetic_see_paradigm.eaf,591,1243744,1246048,apɛ d̪ɔ kat̪ʰa bapɛ paɽha͡o̯a,apɛ d̪ɔ kat̪ʰa ba-pɛ paɽha͡o̯-a,2PL TOP word NEG-2PL study-FIN,You all do not study the word.
synthetic_texts_glossed.eaf,592,1246048,1247868,bʰelə̃uɳɖi d̪ɔ lɘʈua,bʰelə̃uɳɖi d̪ɔ lɘʈu-a,goat.s.dropping TOP small-FIN,The goat's dropping is small.
synthetic_paradigm_glossed.eaf,593,1247868,1250051,apɛaʔ t̪ɘɾup̚ʔ d̪ɔ mɔ̃ɟa,apɛ-aʔ t̪ɘɾup̚ʔ d̪ɔ mɔ̃ɟ-a,2PL-GEN tiger TOP good-FIN,Your tiger is good.
synthetic_texts_glossed.eaf,594,1250051,1251883,bɛbɛ d̪ɔ sapʰaa,bɛbɛ d̪ɔ sapʰa-a,croak.of.frogs TOP clean-FIN,The croak of frogs is clean.
synthetic_bangla_glossed.eaf,595,1251883,1254506,am d̪ɔ haku aɾ ɟɔmaʔ ɟɔma,am d̪ɔ haku aɾ ɟɔmaʔ ɟɔm-a,2SG TOP fish and food eat-FIN,You will eat the fish and the food.
synthetic_paradigm_glossed.eaf,596,1254506,1256572,uniaʔ gid̪ɾɘ d̪ɔ mɔ̃ɟa,uni-aʔ gid̪ɾɘ d̪ɔ mɔ̃ɟ-a,3SG-GEN child TOP good-FIN,His/her child is good.
synthetic_paradigm_glossed.eaf,597,1256572,1258138,oŋkoko kat̪ʰa ɔlɔʔkeda,oŋko-ko kat̪ʰa ɔlɔʔ-ked-a,3PL.ANIM-3PL.ANIM word write-PST-FIN,They wrote the word.
synthetic_new_glossed_3.eaf,598,1258138,1260598,mit̪ʔʈɛn bibɔɾɔn d̪ɔ ɔɽaʔɾɛ menaa,mit̪ʔ-ʈɛn bibɔɾɔn d̪ɔ ɔɽaʔ-ɾɛ mena-a,one-CLF.HUM generation TOP house-LOC exist-FIN,One generation is in the house.
synthetic_see_paradigm.eaf,599,1260598,1261927,apɛpɛ t̪ɘŋgiɛd̪a,apɛ-pɛ t̪ɘŋgi-ɛ-d̪a,2PL-2PL wait-PROG-FIN,You all are waiting.
synthetic_paradigm_glossed.eaf,600,1261927,1263571,alɛlɛ kat̪ʰa ɔlɔʔkeda,alɛ-lɛ kat̪ʰa ɔlɔʔ-ked-a,1PL.EXCL-1PL.EXCL word write-PST-FIN,We wrote the word.
synthetic_paradigm_glossed.eaf,601,1263571,1265640,oŋkoaʔ sɔhɔɽ d̪ɔ sapʰaa,oŋko-aʔ sɔhɔɽ d̪ɔ sapʰa-a,3PL-GEN town TOP clean-FIN,Their town is clean.
synthetic_paradigm_glossed.eaf,602,1265640,1267423,iɲiɲ gʰuɽi ɘkʰɾiɲkeda,iɲ-iɲ gʰuɽi ɘkʰɾiɲ-ked-a,1SG-1SG watch sell-PST-FIN,I sold the watch.
synthetic_see_paradigm.eaf,603,1267423,1269883,am d̪ɔ bat͡ʃʰɽa bam ɲɛla,am d̪ɔ bat͡ʃʰɽa ba-m ɲɛl-a,2SG TOP lad NEG-2SG see-FIN,You do not see the lad.
synthetic_new_glossed.eaf,604,1269883,1271853,apɛ d̪ɔ aɾba ɲɛlakada,apɛ d̪ɔ aɾba ɲɛl-akad-a,2PL TOP ant.eater see-PRF-FIN,You all have seen the ant-eater.
synthetic_school_dialogue_glossed.eaf,605,1271853,1274549,ɔkt̪ɛɾɛ am pɘɾsi ɔlɔʔkat̪ɛ at̪oɾɛ hiɟuʔa,ɔkt̪ɛ-ɾɛ am pɘɾsi ɔlɔʔ-kat̪ɛ at̪o-ɾɛ hiɟuʔ-a,time-LOC 2SG language write-CVB village-LOC come-FIN,"At that time, you write the language and then come to the village."
synthetic_paradigm_glossed.eaf,606,1274549,1276749,iɲaʔ əndʰi dak̕ d̪ɔ nɔwaa,iɲ-aʔ əndʰi dak̕ d̪ɔ nɔwa-a,1SG-GEN storm.of.wind TOP new-FIN,My storm of wind & rain is new.
synthetic_new_glossed.eaf,607,1276749,1278939,am d̪ɔ pɘɾsi ɔlɔʔakada,am d̪ɔ pɘɾsi ɔlɔʔ-akad-a,2SG TOP language write-PRF-FIN,You have written the language.
synthetic_paradigm_glossed.eaf,608,1278939,1280822,apɛaʔ bɛnɛt d̪ɔ sapʰaa,apɛ-aʔ bɛnɛt d̪ɔ sapʰa-a,2PL-GEN calyx.of.flower TOP clean-FIN,Your calyx of flower is clean.
synthetic_see_paradigm.eaf,609,1280822,1283382,apɛ d̪ɔ ɟɔmaʔ bapɛ ɘkʰɾiɲa,apɛ d̪ɔ ɟɔmaʔ ba-pɛ ɘkʰɾiɲ-a,2PL TOP food NEG-2PL sell-FIN,You all do not sell the food.
synthetic_bangla_glossed.eaf,610,1283382,1285988,am d̪ɔ ɟɔmaʔ aɾ haku kiɾiɲa,am d̪ɔ ɟɔmaʔ aɾ haku kiɾiɲ-a,2SG TOP food and fish buy-FIN,You will buy the food and the fish.
synthetic_paradigm_glossed.eaf,611,1285988,1287819,oŋkoko t̪o̯͡a ɲukeda,oŋko-ko t̪o̯͡a ɲu-ked-a,3PL.ANIM-3PL.ANIM milk drink-PST-FIN,They drank the milk.
synthetic_bangla_glossed.eaf,612,1287819,1289934,am d̪ɔ ɖak̚t̪aɾ gɔɽɔa,am d̪ɔ ɖak̚t̪aɾ gɔɽɔ-a,2SG TOP doctor help-FIN,You will help the doctor.
synthetic_texts_glossed.eaf,613,1289934,1291495,iskulɾɛ mɔbaĭl pʰon menaa,iskul-ɾɛ mɔbaĭl pʰon mena-a,school-LOC mobile.phone exist-FIN,There is a mobile phone in the school.
synthetic_texts_glossed.eaf,614,1291495,1293009,gaɖaɾɛ apʰsoɾ menaa,gaɖa-ɾɛ apʰsoɾ mena-a,river-LOC leisure exist-FIN,There is a leisure in the river.
synthetic_texts_glossed.eaf,615,1293009,1294652,basɾɛ kɘmi menaa,bas-ɾɛ kɘmi mena-a,dwelling.place-LOC work exist-FIN,There is a work in the dwelling place.
synthetic_school_dialogue_glossed.eaf,616,1294652,1297547,ɔkt̪ɛɾɛ apɛ ɟɔmaʔ ɟɔmkat̪ɛ ɟɔlaɾɛ hiɟuʔa,ɔkt̪ɛ-ɾɛ apɛ ɟɔmaʔ ɟɔm-kat̪ɛ ɟɔla-ɾɛ hiɟuʔ-a,time-LOC 2PL food eat-CVB lake-LOC come-FIN,"At that time, you all eat the food and then come to the lake."
synthetic_dialogues_glossed.eaf,617,1297547,1300997,alɛ d̪ɔ ɟɔmaʔ ɘkʰɾiɲa mɛnkʰan haku balɛ ɘkʰɾiɲa,alɛ d̪ɔ ɟɔmaʔ ɘkʰɾiɲ-a mɛnkʰan haku ba-lɛ ɘkʰɾiɲ-a,1PL.EXCL TOP food sell-FIN but fish NEG-1PL.EXCL sell-FIN,"We will sell the food, but do not sell the fish."
synthetic_see_paradigm.eaf,618,1300997,1303494,uni d̪ɔ anataŋ bai̯ ɲɛla,uni d̪ɔ anataŋ ba-i̯ ɲɛl-a,3SG.ANIM TOP receptacle NEG-3SG.ANIM see-FIN,He/she does not see the receptacle.
synthetic_bangla_glossed.eaf,619,1303494,1305701,oŋko d̪ɔ sikʰnɘt̪ paɽha͡o̯a,oŋko d̪ɔ sikʰnɘt̪ paɽha͡o̯-a,3PL.ANIM TOP lesson study-FIN,They will study the lesson.
synthetic_texts_glossed.eaf,620,1305701,1307248,basaɾɛ ɲɛlɛɾasa menaa,basa-ɾɛ ɲɛlɛɾasa mena-a,residence-LOC honey exist-FIN,There is a honey in the residence.
synthetic_bangla_glossed.eaf,621,1307248,1310001,uni d̪ɔ bənkəɾ aɾ baŋ ɲɛla,uni d̪ɔ bənkəɾ aɾ baŋ ɲɛl-a,3SG.ANIM TOP hired.worker and negative see-FIN,He/she will see the hired worker and the negative.
synthetic_bangla_glossed.eaf,622,1310001,1312192,am d̪ɔ gʰuɽi kiɾiɲa,am d̪ɔ gʰuɽi kiɾiɲ-a,2SG TOP watch buy-FIN,You will buy the watch.
synthetic_paradigm_glossed.eaf,623,1312192,1314268,uniaʔ ɟɔmaʔ d̪ɔ sapʰaa,uni-aʔ ɟɔmaʔ d̪ɔ sapʰa-a,3SG-GEN food TOP clean-FIN,His/her food is clean.
synthetic_bangla_glossed.eaf,624,1314268,1316989,apɛ d̪ɔ bana aɾ bʰul t͡ʃuk ɲɛla,apɛ d̪ɔ bana aɾ bʰul t͡ʃuk ɲɛl-a,2PL TOP black.bear and omission see-FIN,You all will see the black bear and the omission.
synthetic_texts_glossed.eaf,625,1316989,1318557,agʰoɾni d̪ɔ sapʰaa,agʰoɾni d̪ɔ sapʰa-a,pool TOP clean-FIN,The pool is clean.
synthetic_dialogues_glossed.eaf,626,1318557,1320511,gɔgɔ d̪ɔ ɔkaɾɛ menaa,gɔgɔ d̪ɔ ɔka-ɾɛ mena-a,mother TOP where-LOC exist-FIN,Where is the mother?
synthetic_paradigm_glossed.eaf,627,1320511,1322499,amaʔ pɔɾɔb d̪ɔ nɔwaa,am-aʔ pɔɾɔb d̪ɔ nɔwa-a,2SG-GEN festival TOP new-FIN,Your festival is new.
synthetic_imperatives_glossed.eaf,628,1322499,1324647,d̪a.ja kat̪ɛ kat̪ʰa ɔlɔʔmɛ,d̪a.ja kat̪ɛ kat̪ʰa ɔlɔʔ-mɛ,please Manner word write-IMP.2SG.POL,Please write the word.
synthetic_bangla_glossed.eaf,629,1324647,1326819,uni d̪ɔ baɾ gɛl ɲɛla,uni d̪ɔ baɾ gɛl ɲɛl-a,3SG.ANIM TOP twenty see-FIN,He/she will see the twenty.
synthetic_bangla_glossed.eaf,630,1326819,1328920,uni d̪ɔ kat̪ʰa ɔlɔʔa,uni d̪ɔ kat̪ʰa ɔlɔʔ-a,3SG.ANIM TOP word write-FIN,He/she will write the word.
synthetic_dialogues_glossed.eaf,631,1328920,1332518,alɛ d̪ɔ bədi ɲɛla mɛnkʰan bʰuku balɛ ɲɛla,alɛ d̪ɔ bədi ɲɛl-a mɛnkʰan bʰuku ba-lɛ ɲɛl-a,1PL.EXCL TOP accuser see-FIN but termite NEG-1PL.EXCL see-FIN,"We will see the accuser, but do not see the termite."
synthetic_new_glossed_3.eaf,632,1332518,1334891,mit̪ʔʈɛn balɛ d̪ɔ ɟɔlaɾɛ menaa,mit̪ʔ-ʈɛn balɛ d̪ɔ ɟɔla-ɾɛ mena-a,one-CLF.HUM infant TOP lake-LOC exist-FIN,One infant is in the lake.
synthetic_see_paradigm.eaf,633,1334891,1336204,apɛpɛ hiɟuʔɛd̪a,apɛ-pɛ hiɟuʔ-ɛ-d̪a,2PL-2PL come-PROG-FIN,You all are coming.
synthetic_bangla_glossed.eaf,634,1336204,1338103,am d̪ɔ sikʰnɘt̪ paɽha͡o̯a,am d̪ɔ sikʰnɘt̪ paɽha͡o̯-a,2SG TOP lesson study-FIN,You will study the lesson.
synthetic_texts_glossed.eaf,635,1338103,1339682,bilətɾɛ beldaɾ menaa,bilət-ɾɛ beldaɾ mena-a,england-LOC navvy exist-FIN,There is a navvy in the england.
synthetic_dialogues_glossed.eaf,636,1339682,1341710,t̪i d̪ɔ ɔkaɾɛ menaa,t̪i d̪ɔ ɔka-ɾɛ mena-a,hand TOP where-LOC exist-FIN,Where is the hand?
synthetic_texts_glossed.eaf,637,1341710,1343241,bilətɾɛ gɔgɔ menaa,bilət-ɾɛ gɔgɔ mena-a,england-LOC mother exist-FIN,There is a mother in the england.
synthetic_texts_glossed.eaf,638,1343241,1344948,aɖe paseɾɛ adalot menaa,aɖe pase-ɾɛ adalot mena-a,neighbourhood-LOC court exist-FIN,There is a court in the neighbourhood.
synthetic_bangla_glossed.eaf,639,1344948,1347657,iɲ d̪ɔ basaŋ aɾ ɲɛlɛɾasa ɟɔma,iɲ d̪ɔ basaŋ aɾ ɲɛlɛɾasa ɟɔm-a,1SG TOP cooked.food and honey eat-FIN,I will eat the cooked food and the honey.
synthetic_paradigm_glossed.eaf,640,1347657,1349540,iɲaʔ ɖak̚t̪aɾ d̪ɔ mɔ̃ɟa,iɲ-aʔ ɖak̚t̪aɾ d̪ɔ mɔ̃ɟ-a,1SG-GEN doctor TOP good-FIN,My doctor is good.
synthetic_bangla_glossed.eaf,641,1349540,1352454,alɛ d̪ɔ ɟɔmaʔ aɾ haku kiɾiɲa,alɛ d̪ɔ ɟɔmaʔ aɾ haku kiɾiɲ-a,1PL.EXCL TOP food and fish buy-FIN,We will buy the food and the fish.
synthetic_dialogues_glossed.eaf,642,1352454,1356095,uni d̪ɔ mɔbaĭl pʰon kiɾiɲa mɛnkʰan haku bai̯ kiɾiɲa,uni d̪ɔ mɔbaĭl pʰon kiɾiɲ-a mɛnkʰan haku ba-i̯ kiɾiɲ-a,3SG.ANIM TOP mobile.phone buy-FIN but fish NEG-3SG.ANIM buy-FIN,"He/she will buy the mobile phone, but does not buy the fish."
synthetic_new_glossed_3.eaf,643,1356095,1358337,mit̪ʔ gʰuɽi d̪ɔ ɔɽaʔɾɛ menaa,mit̪ʔ gʰuɽi d̪ɔ ɔɽaʔ-ɾɛ mena-a,one watch TOP house-LOC exist-FIN,One watch is in the house.
synthetic_texts_glossed.eaf,644,1358337,1359916,bembʰa d̪ɔ ɟɘɾuɽa,bembʰa d̪ɔ ɟɘɾuɽ-a,muff TOP important-FIN,The muff is important.
synthetic_texts_glossed.eaf,645,1359916,1361431,basaɾɛ beɲd͡ʒaɲ biɲd͡ʒiɲ menaa,basa-ɾɛ beɲd͡ʒaɲ biɲd͡ʒiɲ mena-a,residence-LOC jumble exist-FIN,There is a jumble in the residence.
synthetic_imperatives_glossed.eaf,646,1361431,1363590,d̪a.ja kat̪ɛ pɘɾsi paɽha͡o̯mɛ,d̪a.ja kat̪ɛ pɘɾsi paɽha͡o̯-mɛ,please Manner language study-IMP.2SG.POL,Please study the language.
synthetic_school_dialogue_glossed.eaf,647,1363590,1366509,ɔkt̪ɛɾɛ uni bakʰaɾa ɲɛlkat̪ɛ ɔɽaʔɾɛ gat̪ea,ɔkt̪ɛ-ɾɛ uni bakʰaɾa ɲɛl-kat̪ɛ ɔɽaʔ-ɾɛ gat̪e-a,time-LOC 3SG.ANIM boasting see-CVB house-LOC play-FIN,"At that time, he/she see the boasting and then play in the house."
synthetic_bangla_glossed.eaf,648,1366509,1368509,alɛ d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa,alɛ d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲ-a,1PL.EXCL TOP mobile.phone sell-FIN,We will sell the mobile phone.
synthetic_new_glossed_3.eaf,649,1368509,1370812,mit̪ʔ basaŋ d̪ɔ ɟɔlaɾɛ menaa,mit̪ʔ basaŋ d̪ɔ ɟɔla-ɾɛ mena-a,one cooked.food TOP lake-LOC exist-FIN,One cooked food is in the lake.
synthetic_dialogues_glossed.eaf,650,1370812,1374432,oŋko d̪ɔ kat̪ʰa paɽha͡o̯a mɛnkʰan pɘɾsi bako paɽha͡o̯a,oŋko d̪ɔ kat̪ʰa paɽha͡o̯-a mɛnkʰan pɘɾsi ba-ko paɽha͡o̯-a,3PL.ANIM TOP word study-FIN but language NEG-3PL.ANIM study-FIN,"They will study the word, but do not study the language."
synthetic_see_paradigm.eaf,651,1374432,1375723,alɛlɛ ɾɔɽɛd̪a,alɛ-lɛ ɾɔɽ-ɛ-d̪a,1PL.EXCL-1PL.EXCL speak-PROG-FIN,We are speaking.
synthetic_see_paradigm.eaf,652,1375723,1377004,oŋkoko paɽha͡o̯ɛd̪a,oŋko-ko paɽha͡o̯-ɛ-d̪a,3PL.ANIM-3PL.ANIM study-PROG-FIN,They are studying.
synthetic_texts_glossed.eaf,653,1377004,1378709,bəteɾɛ bʰelə̃uɳɖi menaa,bəte-ɾɛ bʰelə̃uɳɖi mena-a,courtyard.of.house-LOC goat.s.dropping exist-FIN,There is a goat's dropping in the courtyard of house.
synthetic_bangla_glossed.eaf,654,1378709,1381303,iɲ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲa,iɲ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲ-a,1SG TOP medicine and mobile.phone buy-FIN,I will buy the medicine and the mobile phone.
synthetic_dialogues_glossed.eaf,655,1381303,1384799,apɛ d̪ɔ aɲd͡ʒle ɲɛla mɛnkʰan at͡ʃel bapɛ ɲɛla,apɛ d̪ɔ aɲd͡ʒle ɲɛl-a mɛnkʰan at͡ʃel ba-pɛ ɲɛl-a,2PL TOP handful see-FIN but wealth NEG-2PL see-FIN,"You all will see the handful, but do not see the wealth."
synthetic_paradigm_glossed.eaf,656,1384799,1386593,amɛm bʰãoʈia ɲɛlkeda,am-ɛm bʰãoʈia ɲɛl-ked-a,2SG-2SG a.species.of see-PST-FIN,You saw the a species of antelope.
synthetic_texts_glossed.eaf,657,1386593,1388345,bəteɾɛ bədʰiə̯ menaa,bəte-ɾɛ bədʰiə̯ mena-a,courtyard.of.house-LOC hog.plum exist-FIN,There is a hog plum in the courtyard of house.
synthetic_bangla_glossed.eaf,658,1388345,1390954,alɛ d̪ɔ d̪aʔ aɾ t̪o̯͡a ɲua,alɛ d̪ɔ d̪aʔ aɾ t̪o̯͡a ɲu-a,1PL.EXCL TOP water and milk drink-FIN,We will drink the water and the milk.
synthetic_texts_glossed.eaf,659,1390954,1392667,pɔɾɔb d̪ɔ nɔwaa,pɔɾɔb d̪ɔ nɔwa-a,festival TOP new-FIN,The festival is new.
synthetic_paradigm_glossed.eaf,660,1392667,1394251,alɛlɛ sikʰnɘt̪ paɽha͡o̯keda,alɛ-lɛ sikʰnɘt̪ paɽha͡o̯-ked-a,1PL.EXCL-1PL.EXCL lesson study-PST-FIN,We studied the lesson.
synthetic_paradigm_glossed.eaf,661,1394251,1395838,iɲiɲ kat̪ʰa paɽha͡o̯keda,iɲ-iɲ kat̪ʰa paɽha͡o̯-ked-a,1SG-1SG word study-PST-FIN,I studied the word.
synthetic_paradigm_glossed.eaf,662,1395838,1398044,iɲaʔ bɔ͡i̯ha d̪ɔ lɘʈua,iɲ-aʔ bɔ͡i̯ha d̪ɔ lɘʈu-a,1SG-GEN brother TOP small-FIN,My brother is small.
synthetic_dialogues_glossed.eaf,663,1398044,1401610,am d̪ɔ pɘɾsi ɾɔɽa mɛnkʰan kat̪ʰa bam ɾɔɽa,am d̪ɔ pɘɾsi ɾɔɽ-a mɛnkʰan kat̪ʰa ba-m ɾɔɽ-a,2SG TOP language speak-FIN but word NEG-2SG speak-FIN,"You will speak the language, but do not speak the word."
synthetic_see_paradigm.eaf,664,1401610,1402773,oŋkoko gɔɽɔɛd̪a,oŋko-ko gɔɽɔ-ɛ-d̪a,3PL.ANIM-3PL.ANIM help-PROG-FIN,They are helping.
synthetic_texts_glossed.eaf,665,1402773,1404575,pɔɾɔb d̪ɔ mɔ̃ɟa,pɔɾɔb d̪ɔ mɔ̃ɟ-a,festival TOP good-FIN,The festival is good.
synthetic_texts_glossed.eaf,666,1404575,1406219,gaɖaɾɛ gɔgɔ menaa,gaɖa-ɾɛ gɔgɔ mena-a,river-LOC mother exist-FIN,There is a mother in the river.
synthetic_paradigm_glossed.eaf,667,1406219,1407989,oŋkoko ɟɔmaʔ ɟɔmkeda,oŋko-ko ɟɔmaʔ ɟɔm-ked-a,3PL.ANIM-3PL.ANIM food eat-PST-FIN,They ate the food.
synthetic_paradigm_glossed.eaf,668,1407989,1409811,oŋkoko mɔbaĭl pʰon ɘkʰɾiɲkeda,oŋko-ko mɔbaĭl pʰon ɘkʰɾiɲ-ked-a,3PL.ANIM-3PL.ANIM mobile.phone sell-PST-FIN,They sold the mobile phone.
synthetic_bangla_glossed.eaf,669,1409811,1411833,alɛ d̪ɔ ɟɔmaʔ ɘkʰɾiɲa,alɛ d̪ɔ ɟɔmaʔ ɘkʰɾiɲ-a,1PL.EXCL TOP food sell-FIN,We will sell the food.
synthetic_bangla_glossed.eaf,670,1411833,1413992,am d̪ɔ gɔgɔ gɔɽɔa,am d̪ɔ gɔgɔ gɔɽɔ-a,2SG TOP mother help-FIN,You will help the mother.
synthetic_bangla_glossed.eaf,671,1413992,1416602,uni d̪ɔ ɲɛlɛɾasa aɾ haku ɟɔma,uni d̪ɔ ɲɛlɛɾasa aɾ haku ɟɔm-a,3SG.ANIM TOP honey and fish eat-FIN,He/she will eat the honey and the fish.
synthetic_dialogues_glossed.eaf,672,1416602,1420244,am d̪ɔ d̪aʔ ɲua mɛnkʰan d̪aʔ bam ɲua,am d̪ɔ d̪aʔ ɲu-a mɛnkʰan d̪aʔ ba-m ɲu-a,2SG TOP water drink-FIN but water NEG-2SG drink-FIN,"You will drink the water, but do not drink the water."
synthetic_paradigm_glossed.eaf,673,1420244,1422176,apɛaʔ pɘɾsi d̪ɔ nɔwaa,apɛ-aʔ pɘɾsi d̪ɔ nɔwa-a,2PL-GEN language TOP new-FIN,Your language is new.
synthetic_bangla_glossed.eaf,674,1422176,1424220,oŋko d̪ɔ aʈap̕ uʈup̕ ɲɛla,oŋko d̪ɔ aʈap̕ uʈup̕ ɲɛl-a,3PL.ANIM TOP rumbling.sound see-FIN,They will see the rumbling sound.
synthetic_new_glossed_3.eaf,675,1424220,1426529,mit̪ʔʈɛn ajo d̪ɔ kuɲɾɛ menaa,mit̪ʔ-ʈɛn ajo d̪ɔ kuɲ-ɾɛ mena-a,one-CLF.HUM mother TOP well-LOC exist-FIN,One mother is in the well.
synthetic_texts_glossed.eaf,676,1426529,1428369,bilənɾɛ amɽa menaa,bilən-ɾɛ amɽa mena-a,wide.expanse.of-LOC hog.plum exist-FIN,There is a hog plum in the wide expanse of land.
synthetic_dialogues_glossed.eaf,677,1428369,1431999,iɲ d̪ɔ pʰɔʈɔ ɲama mɛnkʰan ɟɔmaʔ bɘɲ ɲama,iɲ d̪ɔ pʰɔʈɔ ɲam-a mɛnkʰan ɟɔmaʔ bɘ-ɲ ɲam-a,1SG TOP photo get-FIN but food NEG-1SG get-FIN,"I will get the photo, but do not get the food."
synthetic_bangla_glossed.eaf,678,1431999,1434049,alɛ d̪ɔ basaŋ ɟɔma,alɛ d̪ɔ basaŋ ɟɔm-a,1PL.EXCL TOP cooked.food eat-FIN,We will eat the cooked food.
synthetic_see_paradigm.eaf,679,1434049,1435201,amɛm ɟɔmɛd̪a,am-ɛm ɟɔm-ɛ-d̪a,2SG-2SG eat-PROG-FIN,You is eating.
synthetic_texts_glossed.eaf,680,1435201,1436711,bʰəʈʰi d̪ɔ mɔ̃ɟa,bʰəʈʰi d̪ɔ mɔ̃ɟ-a,boiler TOP good-FIN,The boiler is good.
synthetic_new_glossed.eaf,681,1436711,1438836,alɛ d̪ɔ sikʰnɘt̪ paɽha͡o̯akada,alɛ d̪ɔ sikʰnɘt̪ paɽha͡o̯-akad-a,1PL.EXCL TOP lesson study-PRF-FIN,We have studied the lesson.
synthetic_paradigm_glossed.eaf,682,1438836,1440397,apɛpɛ sikʰnɘt̪ paɽha͡o̯keda,apɛ-pɛ sikʰnɘt̪ paɽha͡o̯-ked-a,2PL-2PL lesson study-PST-FIN,You all studied the lesson.
synthetic_paradigm_glossed.eaf,683,1440397,1442127,oŋkoko kat̪ʰa paɽha͡o̯keda,oŋko-ko kat̪ʰa paɽha͡o̯-ked-a,3PL.ANIM-3PL.ANIM word study-PST-FIN,They studied the word.
