bangla,english,santali
তোমরা বনরুই দেখেছ।,You all have seen the ant-eater.,apɛ d̪ɔ aɾba ɲɛlakada.
সেই সময় তুমি ভাষা লিখে গ্রামে আসবে।,"At that time, you write the language and then come to the village.",ɔkt̪ɛɾɛ am pɘɾsi ɔlɔʔkat̪ɛ at̪oɾɛ hiɟuʔa.
আমার ঝড়বৃষ্টি নতুন।,My storm of wind & rain is new.,iɲaʔ əndʰi dak̕ d̪ɔ nɔwaa.
তুমি ভাষা লিখেছ।,You have written the language.,am d̪ɔ pɘɾsi ɔlɔʔakada.
তোমাদের ফুলের বৃতি পরিষ্কার।,Your calyx of flower is clean.,apɛaʔ bɛnɛt d̪ɔ sapʰaa.
তোমরা খাবার বিক্রি করবে না।,You all do not sell the food.,apɛ d̪ɔ ɟɔmaʔ bapɛ ɘkʰɾiɲa.
তুমি খাবার ও মাছ কিনবে।,You will buy the food and the fish.,am d̪ɔ ɟɔmaʔ aɾ haku kiɾiɲa.
তারা দুধ পান করেছিল।,They drank the milk.,oŋkoko t̪o̯͡a ɲukeda.
তুমি ডাক্তার সাহায্য করবে।,You will help the doctor.,am d̪ɔ ɖak̚t̪aɾ gɔɽɔa.
স্কুলে একটি মোবাইল ফোন আছে।,There is a mobile phone in the school.,iskulɾɛ mɔbaĭl pʰon menaa.
নদীতে একটি অবসর আছে।,There is a leisure in the river.,gaɖaɾɛ apʰsoɾ menaa.
বাসস্থানে একটি কাজ আছে।,There is a work in the dwelling place.,basɾɛ kɘmi menaa.
সেই সময় তোমরা খাবার খেয়ে হ্রদে আসবে।,"At that time, you all eat the food and then come to the lake.",ɔkt̪ɛɾɛ apɛ ɟɔmaʔ ɟɔmkat̪ɛ ɟɔlaɾɛ hiɟuʔa.
"আমরা খাবার বিক্রি করব, কিন্তু মাছ বিক্রি করব না।","We will sell the food, but do not sell the fish.",alɛ d̪ɔ ɟɔmaʔ ɘkʰɾiɲa mɛnkʰan haku balɛ ɘkʰɾiɲa.
সে পাত্র দেখবে না।,He/she does not see the receptacle.,uni d̪ɔ anataŋ bai̯ ɲɛla.
তারা পাঠ পড়বে।,They will study the lesson.,oŋko d̪ɔ sikʰnɘt̪ paɽha͡o̯a.
বাসস্থানে একটি মধু আছে।,There is a honey in the residence.,basaɾɛ ɲɛlɛɾasa menaa.
সে ভাড়াটে কর্মী ও নেতিবাচক দেখবে।,He/she will see the hired worker and the negative.,uni d̪ɔ bənkəɾ aɾ baŋ ɲɛla.
তুমি ঘড়ি কিনবে।,You will buy the watch.,am d̪ɔ gʰuɽi kiɾiɲa.
তার খাবার পরিষ্কার।,His/her food is clean.,uniaʔ ɟɔmaʔ d̪ɔ sapʰaa.
তোমরা কালো ভাল্লুক ও বাদ পড়া দেখবে।,You all will see the black bear and the omission.,apɛ d̪ɔ bana aɾ bʰul t͡ʃuk ɲɛla.
পুকুরটি পরিষ্কার।,The pool is clean.,agʰoɾni d̪ɔ sapʰaa.
মা কোথায় আছে?,Where is the mother?,gɔgɔ d̪ɔ ɔkaɾɛ menaa.
তোমার উৎসব নতুন।,Your festival is new.,amaʔ pɔɾɔb d̪ɔ nɔwaa.
দয়া করে কথা লিখো।,Please write the word.,d̪a.ja kat̪ɛ kat̪ʰa ɔlɔʔmɛ.
সে বিশ দেখবে।,He/she will see the twenty.,uni d̪ɔ baɾ gɛl ɲɛla.
সে কথা লিখবে।,He/she will write the word.,uni d̪ɔ kat̪ʰa ɔlɔʔa.
"আমরা অভিযোগকারী দেখব, কিন্তু উই পোকা দেখব না।","We will see the accuser, but do not see the termite.",alɛ d̪ɔ bədi ɲɛla mɛnkʰan bʰuku balɛ ɲɛla.
একটি নবজাতক হ্রদে আছে।,One infant is in the lake.,mit̪ʔʈɛn balɛ d̪ɔ ɟɔlaɾɛ menaa.
তোমরা আসছ।,You all are coming.,apɛpɛ hiɟuʔɛd̪a.
তুমি পাঠ পড়বে।,You will study the lesson.,am d̪ɔ sikʰnɘt̪ paɽha͡o̯a.
ইংল্যান্ডে একটি শ্রমিক আছে।,There is a navvy in the england.,bilətɾɛ beldaɾ menaa.
হাত কোথায় আছে?,Where is the hand?,t̪i d̪ɔ ɔkaɾɛ menaa.
ইংল্যান্ডে একটি মা আছে।,There is a mother in the england.,bilətɾɛ gɔgɔ menaa.
পাড়াে একটি আদালত আছে।,There is a court in the neighbourhood.,aɖe paseɾɛ adalot menaa.
আমি রান্না ও মধু খাব।,I will eat the cooked food and the honey.,iɲ d̪ɔ basaŋ aɾ ɲɛlɛɾasa ɟɔma.
আমার ডাক্তার ভালো।,My doctor is good.,iɲaʔ ɖak̚t̪aɾ d̪ɔ mɔ̃ɟa.
আমরা খাবার ও মাছ কিনব।,We will buy the food and the fish.,alɛ d̪ɔ ɟɔmaʔ aɾ haku kiɾiɲa.
"সে মোবাইল ফোন কিনবে, কিন্তু মাছ কিনবে না।","He/she will buy the mobile phone, but does not buy the fish.",uni d̪ɔ mɔbaĭl pʰon kiɾiɲa mɛnkʰan haku bai̯ kiɾiɲa.
একটি ঘড়ি বাড়িতে আছে।,One watch is in the house.,mit̪ʔ gʰuɽi d̪ɔ ɔɽaʔɾɛ menaa.
মাফ (হাতঢাকা)টি গুরুত্বপূর্ণ।,The muff is important.,bembʰa d̪ɔ ɟɘɾuɽa.
বাসস্থানে একটি জট পাকানো আছে।,There is a jumble in the residence.,basaɾɛ beɲd͡ʒaɲ biɲd͡ʒiɲ menaa.
দয়া করে ভাষা পড়ো।,Please study the language.,d̪a.ja kat̪ɛ pɘɾsi paɽha͡o̯mɛ.
সেই সময় সে দম্ভ দেখে বাড়িতে খেলবে।,"At that time, he/she see the boasting and then play in the house.",ɔkt̪ɛɾɛ uni bakʰaɾa ɲɛlkat̪ɛ ɔɽaʔɾɛ gat̪ea.
আমরা মোবাইল ফোন বিক্রি করব।,We will sell the mobile phone.,alɛ d̪ɔ mɔbaĭl pʰon ɘkʰɾiɲa.
একটি রান্না হ্রদে আছে।,One cooked food is in the lake.,mit̪ʔ basaŋ d̪ɔ ɟɔlaɾɛ menaa.
"তারা কথা পড়বে, কিন্তু ভাষা পড়বে না।","They will study the word, but do not study the language.",oŋko d̪ɔ kat̪ʰa paɽha͡o̯a mɛnkʰan pɘɾsi bako paɽha͡o̯a.
আমরা বলছি।,We are speaking.,alɛlɛ ɾɔɽɛd̪a.
তারা পড়ছে।,They are studying.,oŋkoko paɽha͡o̯ɛd̪a.
উঠানে একটি ছাগলের বিষ্ঠা আছে।,There is a goat's dropping in the courtyard of house.,bəteɾɛ bʰelə̃uɳɖi menaa.
আমি ঔষধ ও মোবাইল ফোন কিনব।,I will buy the medicine and the mobile phone.,iɲ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲa.
"তোমরা একমুঠো দেখবে, কিন্তু সম্পদ দেখবে না।","You all will see the handful, but do not see the wealth.",apɛ d̪ɔ aɲd͡ʒle ɲɛla mɛnkʰan at͡ʃel bapɛ ɲɛla.
তুমি এক প্রজাতির হরিণ দেখেছিলে।,You saw the a species of antelope.,amɛm bʰãoʈia ɲɛlkeda.
উঠানে একটি আমড়া (ফল) আছে।,There is a hog plum in the courtyard of house.,bəteɾɛ bədʰiə̯ menaa.
আমরা পানি ও দুধ পান করব।,We will drink the water and the milk.,alɛ d̪ɔ d̪aʔ aɾ t̪o̯͡a ɲua.
উৎসবটি নতুন।,The festival is new.,pɔɾɔb d̪ɔ nɔwaa.
আমরা পাঠ পড়েছিলাম।,We studied the lesson.,alɛlɛ sikʰnɘt̪ paɽha͡o̯keda.
আমি কথা পড়েছিলাম।,I studied the word.,iɲiɲ kat̪ʰa paɽha͡o̯keda.
আমার ভাই ছোট।,My brother is small.,iɲaʔ bɔ͡i̯ha d̪ɔ lɘʈua.
"তুমি ভাষা বলবে, কিন্তু কথা বলবে না।","You will speak the language, but do not speak the word.",am d̪ɔ pɘɾsi ɾɔɽa mɛnkʰan kat̪ʰa bam ɾɔɽa.
তারা সাহায্য করছে।,They are helping.,oŋkoko gɔɽɔɛd̪a.
উৎসবটি ভালো।,The festival is good.,pɔɾɔb d̪ɔ mɔ̃ɟa.
নদীতে একটি মা আছে।,There is a mother in the river.,gaɖaɾɛ gɔgɔ menaa.
তারা খাবার খেয়েছিল।,They ate the food.,oŋkoko ɟɔmaʔ ɟɔmkeda.
তারা মোবাইল ফোন বিক্রি করেছিল।,They sold the mobile phone.,oŋkoko mɔbaĭl pʰon ɘkʰɾiɲkeda.
আমরা খাবার বিক্রি করব।,We will sell the food.,alɛ d̪ɔ ɟɔmaʔ ɘkʰɾiɲa.
তুমি মা সাহায্য করবে।,You will help the mother.,am d̪ɔ gɔgɔ gɔɽɔa.
সে মধু ও মাছ খাবে।,He/she will eat the honey and the fish.,uni d̪ɔ ɲɛlɛɾasa aɾ haku ɟɔma.
"তুমি পানি পান করবে, কিন্তু পানি পান করবে না।","You will drink the water, but do not drink the water.",am d̪ɔ d̪aʔ ɲua mɛnkʰan d̪aʔ bam ɲua.
তোমাদের ভাষা নতুন।,Your language is new.,apɛaʔ pɘɾsi d̪ɔ nɔwaa.
তারা গুড়গুড় শব্দ দেখবে।,They will see the rumbling sound.,oŋko d̪ɔ aʈap̕ uʈup̕ ɲɛla.
একটি মা কুয়ায় আছে।,One mother is in the well.,mit̪ʔʈɛn ajo d̪ɔ kuɲɾɛ menaa.
বিস্তীর্ণ ভূমিে একটি আমড়া আছে।,There is a hog plum in the wide expanse of land.,bilənɾɛ amɽa menaa.
"আমি ছবি পাব, কিন্তু খাবার পাব না।","I will get the photo, but do not get the food.",iɲ d̪ɔ pʰɔʈɔ ɲama mɛnkʰan ɟɔmaʔ bɘɲ ɲama.
আমরা রান্না খাব।,We will eat the cooked food.,alɛ d̪ɔ basaŋ ɟɔma.
তুমি খাচ্ছ।,You is eating.,amɛm ɟɔmɛd̪a.
বয়লারটি ভালো।,The boiler is good.,bʰəʈʰi d̪ɔ mɔ̃ɟa.
আমরা পাঠ পড়েছি।,We have studied the lesson.,alɛ d̪ɔ sikʰnɘt̪ paɽha͡o̯akada.
তোমরা পাঠ পড়েছিলে।,You all studied the lesson.,apɛpɛ sikʰnɘt̪ paɽha͡o̯keda.
তারা কথা পড়েছিল।,They studied the word.,oŋkoko kat̪ʰa paɽha͡o̯keda.
সে বাগান দেখেছিল।,He/she saw the garden.,unii̯ bagan ɲɛlkeda.
তার হাত পরিষ্কার।,His/her hand is clean.,uniaʔ t̪i d̪ɔ sapʰaa.
বাসস্থানে একটি ডাক্তার আছে।,There is a doctor in the dwelling place.,basɾɛ ɖak̚t̪aɾ menaa.
আঙুরটি পরিষ্কার।,The grape is clean.,aŋguɾ d̪ɔ sapʰaa.
তুমি মধু খেয়েছিলে।,You ate the honey.,amɛm ɲɛlɛɾasa ɟɔmkeda.
মাফ (হাতঢাকা)টি পরিষ্কার।,The muff is clean.,bembʰa d̪ɔ sapʰaa.
ভেড়ার বাচ্চাটি আনন্দের।,The lamb is happy.,bʰiɖi hɔpɔn d̪ɔ ɾɘskɘa.
একটি ভাই গ্রামে আছে।,One brother is in the village.,mit̪ʔʈɛn baɾet d̪ɔ at̪oɾɛ menaa.
আজ তোমরা কথা লিখে শহরে খেলবে।,"Today, you all write the word and then play in the town.",t̪eheɲɾɛ apɛ kat̪ʰa ɔlɔʔkat̪ɛ sɔhɔɽɾɛ gat̪ea.
আমি মধু খেয়েছি।,I have eaten the honey.,iɲ d̪ɔ ɲɛlɛɾasa ɟɔmakada.
তোমার গ্রাম গুরুত্বপূর্ণ।,Your village is important.,amaʔ at̪o d̪ɔ ɟɘɾuɽa.
তারা পানি পান করবে না।,They do not drink the water.,oŋko d̪ɔ d̪aʔ bako ɲua.
তোমরা বাবা সাহায্য করেছ।,You all have helped the father.,apɛ d̪ɔ baba gɔɽɔakada.
একটি ছবি কুয়ায় আছে।,One photo is in the well.,mit̪ʔ pʰɔʈɔ d̪ɔ kuɲɾɛ menaa.
বাসস্থানে একটি পেট ব্যথা আছে।,There is a gripes in the residence.,basaɾɛ bɛɾõʈ duk menaa.
আমরা অভ্যাস ও অশান্তি দেখব।,We will see the habit and the unrest.,alɛ d̪ɔ bʰəsi aɾ bɛtʰiɾ ɲɛla.
অংশীদারটি ভালো।,The partner is good.,bʰəgiə̯ɾi d̪ɔ mɔ̃ɟa.
হাতটি গুরুত্বপূর্ণ।,The hand is important.,t̪i d̪ɔ ɟɘɾuɽa.
আমরা পানি পান করব।,We will drink the water.,alɛ d̪ɔ d̪aʔ ɲua.
একটি টাকা গ্রামে আছে।,One money is in the village.,mit̪ʔ ʈaka d̪ɔ at̪oɾɛ menaa.
হ্রদটি নতুন।,The lake is new.,ɟɔla d̪ɔ nɔwaa.
আমি ঔষধ ও মাছ কিনব।,I will buy the medicine and the fish.,iɲ d̪ɔ ɾan aɾ haku kiɾiɲa.
তোমরা ঘড়ি ও মোবাইল ফোন কিনবে।,You all will buy the watch and the mobile phone.,apɛ d̪ɔ gʰuɽi aɾ mɔbaĭl pʰon kiɾiɲa.
সকালে সে ভাষা লিখে বাড়িতে যাবে।,"In the morning, he/she write the language and then go to the house.",sɛt̪aʔɾɛ uni pɘɾsi ɔlɔʔkat̪ɛ ɔɽaʔɾɛ calaʔa.
ছোট কুঠারটি গুরুত্বপূর্ণ।,The small adze is important.,bəslə d̪ɔ ɟɘɾuɽa.
তুমি মোবাইল ফোন ও ঘড়ি কিনবে।,You will buy the mobile phone and the watch.,am d̪ɔ mɔbaĭl pʰon aɾ gʰuɽi kiɾiɲa.
কাঠের খুঁটিটি পরিষ্কার।,The wooden pin is clean.,bʰaɲd͡ʒ kʰuɳʈi d̪ɔ sapʰaa.
বাবাটি আনন্দের।,The father is happy.,baba d̪ɔ ɾɘskɘa.
তুমি মধু খাবে না।,You do not eat the honey.,am d̪ɔ ɲɛlɛɾasa bam ɟɔma.
আমি ভাষা বলেছি।,I have spoken the language.,iɲ d̪ɔ pɘɾsi ɾɔɽakada.
একটি মোবাইল ফোন শহরে আছে।,One mobile phone is in the town.,mit̪ʔ mɔbaĭl pʰon d̪ɔ sɔhɔɽɾɛ menaa.
তোমরা মাছ বিক্রি করেছ।,You all have sold the fish.,apɛ d̪ɔ haku ɘkʰɾiɲakada.
গতকাল সে বেশ্যা দেখে হ্রদে যাবে।,"Yesterday, he/she see the harlot and then go to the lake.",hɔlaɾɛ uni bət͡ʃkəɾ ɲɛlkat̪ɛ ɟɔlaɾɛ calaʔa.
পাড়াে একটি টাকা আছে।,There is a money in the neighbourhood.,aɖe paseɾɛ ʈaka menaa.
সকালে আমি কথা লিখে হ্রদে যাব।,"In the morning, I write the word and then go to the lake.",sɛt̪aʔɾɛ iɲ kat̪ʰa ɔlɔʔkat̪ɛ ɟɔlaɾɛ calaʔa.
ইংল্যান্ডে একটি হ্রদ আছে।,There is a lake in the england.,bilətɾɛ ɟɔla menaa.
আজ আমি খাবার কিনে কুয়ায় কাজ করব।,"Today, I buy the food and then work in the well.",t̪eheɲɾɛ iɲ ɟɔmaʔ kiɾiɲkat̪ɛ kuɲɾɛ kɘmia.
চুক্তিটি গুরুত্বপূর্ণ।,The contract is important.,bandʰɔn d̪ɔ ɟɘɾuɽa.
তারা মা সাহায্য করেছিল।,They helped the mother.,oŋkoko gɔgɔ gɔɽɔkeda.
আমরা মোবাইল ফোন কিনেছি।,We have bought the mobile phone.,alɛ d̪ɔ mɔbaĭl pʰon kiɾiɲakada.
নিকটবর্তী এলাকাে একটি অভ্যাস আছে।,There is a habit in the vicinity.,aɖe ʈolaɾɛ bʰəsi menaa.
তুলার গাছটি ভালো।,The cotton plant is good.,bʰoga kaskɔm d̪ɔ mɔ̃ɟa.
বাড়িতে একটি আখড়া আছে।,There is a gathering in the house.,ɔɽaʔɾɛ akʰɾa menaa.
তোমরা বসছ।,You all are sitting.,apɛpɛ d̪uɽup̚ʔɛd̪a.
তোমাদের সময় নতুন।,Your time is new.,apɛaʔ ɔkt̪ɛ d̪ɔ nɔwaa.
একটি জারজ কুয়ায় আছে।,One bastard is in the well.,mit̪ʔʈɛn bidʰuə̯ d̪ɔ kuɲɾɛ menaa.
তুমি কথা বলবে না।,You do not speak the word.,am d̪ɔ kat̪ʰa bam ɾɔɽa.
তুমি ঘড়ি বিক্রি করেছিলে।,You sold the watch.,amɛm gʰuɽi ɘkʰɾiɲkeda.
দয়া করে শহরে আসো।,Please come to the town.,d̪a.ja kat̪ɛ sɔhɔɽɾɛ hiɟuʔmɛ.
তারা কসাই দেখবে।,They will see the butcher.,oŋko d̪ɔ bʰut͡ʃəɽ ɲɛla.
বিস্তীর্ণ ভূমিে একটি দুধ আছে।,There is a milk in the wide expanse of land.,bilənɾɛ t̪o̯͡a menaa.
তাদের আঙুর ভালো।,Their grape is good.,oŋkoaʔ aŋguɾ d̪ɔ mɔ̃ɟa.
আমাদের পিঁপড়া ছোট।,Our ant is small.,alɛaʔ muc̚ʔ d̪ɔ lɘʈua.
ভুলটি পরিষ্কার।,The blunder is clean.,bʰul d̪ɔ sapʰaa.
সে খাবার খেয়েছিল।,He/she ate the food.,unii̯ ɟɔmaʔ ɟɔmkeda.
তোমরা ভাষা পড়েছ।,You all have studied the language.,apɛ d̪ɔ pɘɾsi paɽha͡o̯akada.
অগ্রদূতটি ভালো।,The forerunner is good.,əguə̯daɾ d̪ɔ mɔ̃ɟa.
তারা ভাষা বলেছিল।,They spoke the language.,oŋkoko pɘɾsi ɾɔɽkeda.
পাটি ভালো।,The foot is good.,kaʈa d̪ɔ mɔ̃ɟa.
তোমার মা ছোট।,Your mother is small.,amaʔ gɔgɔ d̪ɔ lɘʈua.
মাটির জারটি নতুন।,The round jar is new.,bəhni d̪ɔ nɔwaa.
তুমি ওয়ারেন্ট দেখবে না।,You do not see the warrant.,am d̪ɔ aɾoɳʈ bam ɲɛla.
সময়টি গুরুত্বপূর্ণ।,The time is important.,ɔkt̪ɛ d̪ɔ ɟɘɾuɽa.
তোমার কর্তব্যচ্যুতি গুরুত্বপূর্ণ।,Your omission of duty is important.,amaʔ bʰisoɾ d̪ɔ ɟɘɾuɽa.
সকালে আমি ভাষা লিখে কুয়ায় খেলব।,"In the morning, I write the language and then play in the well.",sɛt̪aʔɾɛ iɲ pɘɾsi ɔlɔʔkat̪ɛ kuɲɾɛ gat̪ea.
কুয়ায় একটি বিনিময় আছে।,There is an exchange in the well.,kuɲɾɛ badla menaa.
নদীতে একটি কুয়া আছে।,There is a well in the river.,gaɖaɾɛ kuɲ menaa.
আমি কথা পড়ব না।,I do not study the word.,iɲ d̪ɔ kat̪ʰa bɘɲ paɽha͡o̯a.
কিশোরটি ছোট।,The hobbledehoy is small.,bat͡ʃʰɽa koɽa d̪ɔ lɘʈua.
সেই সময় তারা দুধ পান করে স্কুলে আসবে।,"At that time, they drink the milk and then come to the school.",ɔkt̪ɛɾɛ oŋko t̪o̯͡a ɲukat̪ɛ iskulɾɛ hiɟuʔa.
তার আখড়া ভালো।,His/her gathering is good.,uniaʔ akʰɾa d̪ɔ mɔ̃ɟa.
"তুমি কথা লিখবে, কিন্তু কথা লিখবে না।","You will write the word, but do not write the word.",am d̪ɔ kat̪ʰa ɔlɔʔa mɛnkʰan kat̪ʰa bam ɔlɔʔa.
সে ঘড়ি কিনবে।,He/she will buy the watch.,uni d̪ɔ gʰuɽi kiɾiɲa.
বাড়িটি পরিষ্কার।,The house is clean.,ɔɽaʔ d̪ɔ sapʰaa.
বাসস্থানে একটি অনুচিত আচরণ আছে।,There is an impropriety in the residence.,basaɾɛ baŋ ganok̕ak̕ menaa.
ঘামটি ভালো।,The perspiration is good.,balbal d̪ɔ mɔ̃ɟa.
বালিশটি ভালো।,The pillow is good.,bəlis d̪ɔ mɔ̃ɟa.
আমি অবসর ও আনারস দেখব।,I will see the leisure and the pineapple.,iɲ d̪ɔ apʰsoɾ aɾ ananas ɲɛla.
শক্তিটি ভালো।,The force is good.,ad͡ʒʰãʈ d̪ɔ mɔ̃ɟa.
"তুমি খাবার পাবে, কিন্তু ঔষধ পাবে না।","You will get the food, but do not get the medicine.",am d̪ɔ ɟɔmaʔ ɲama mɛnkʰan ɾan bam ɲama.
স্কুলে একটি লাগাম আছে।,There is a bridle in the school.,iskulɾɛ bag menaa.
আমি মারা যাচ্ছি।,I am dying.,iɲiɲ gɔc̚ʔɛd̪a.
তাদের গুজব রটনাকারী ভালো।,Their gossiping is good.,oŋkoaʔ bəd͡ʒniə̯ d̪ɔ mɔ̃ɟa.
একটি টাকা স্কুলে আছে।,One money is in the school.,mit̪ʔ ʈaka d̪ɔ iskulɾɛ menaa.
বকেয়াটি নতুন।,The arrears is new.,bəki d̪ɔ nɔwaa.
একটি পূর্বপুরুষ হ্রদে আছে।,One ancestors is in the lake.,mit̪ʔʈɛn bap dada d̪ɔ ɟɔlaɾɛ menaa.
তোমরা মা সাহায্য করবে না।,You all do not help the mother.,apɛ d̪ɔ gɔgɔ bapɛ gɔɽɔa.
ঝড়বৃষ্টিটি গুরুত্বপূর্ণ।,The storm of wind & rain is important.,əndʰi dak̕ d̪ɔ ɟɘɾuɽa.
তোমরা বাবা সাহায্য করবে।,You all will help the father.,apɛ d̪ɔ baba gɔɽɔa.
আজ আমরা ঘড়ি কিনে বাড়িতে আসব।,"Today, we buy the watch and then come to the house.",t̪eheɲɾɛ alɛ gʰuɽi kiɾiɲkat̪ɛ ɔɽaʔɾɛ hiɟuʔa.
একটি বাবা শহরে আছে।,One father is in the town.,mit̪ʔʈɛn baba d̪ɔ sɔhɔɽɾɛ menaa.
উঠানে একটি মশাল আছে।,There is a torch in the courtyard of house.,bəteɾɛ bambeɾ menaa.
তোমাদের প্রসবোত্তর নাড়ি নতুন।,Your afterbirth placenta is new.,apɛaʔ baha āowāɾ d̪ɔ nɔwaa.
তাদের মানুষ আনন্দের।,Their person is happy.,oŋkoaʔ hɔɽ d̪ɔ ɾɘskɘa.
তোমাদের ঘড়ি পরিষ্কার।,Your watch is clean.,apɛaʔ gʰuɽi d̪ɔ sapʰaa.
সে খাবার বিক্রি করবে না।,He/she does not sell the food.,uni d̪ɔ ɟɔmaʔ bai̯ ɘkʰɾiɲa.
সেই সময় সে পাঠ পড়ে হ্রদে খেলবে।,"At that time, he/she study the lesson and then play in the lake.",ɔkt̪ɛɾɛ uni sikʰnɘt̪ paɽha͡o̯kat̪ɛ ɟɔlaɾɛ gat̪ea.
তোমরা খাবার পেয়েছিলে।,You all got the food.,apɛpɛ ɟɔmaʔ ɲamkeda.
নদীতে একটি জীবন আছে।,There is a life in the river.,gaɖaɾɛ ɟiŋgi menaa.
দয়া করে কথা পড়ো।,Please study the word.,d̪a.ja kat̪ɛ kat̪ʰa paɽha͡o̯mɛ.
সে পানি ও দুধ পান করবে।,He/she will drink the water and the milk.,uni d̪ɔ d̪aʔ aɾ t̪o̯͡a ɲua.
তার পা গুরুত্বপূর্ণ।,His/her leg is important.,uniaʔ ɟaŋga d̪ɔ ɟɘɾuɽa.
তোমরা খেলছ।,You all are playing.,apɛpɛ gat̪eɛd̪a.
আমরা খাবার বিক্রি করব না।,We do not sell the food.,alɛ d̪ɔ ɟɔmaʔ balɛ ɘkʰɾiɲa.
জেলে কোথায় আছে?,Where is the fisherman?,ɟɘliɘ d̪ɔ ɔkaɾɛ menaa.
তুমি মোবাইল ফোন কিনবে।,You will buy the mobile phone.,am d̪ɔ mɔbaĭl pʰon kiɾiɲa.
একটি বোকা নদীতে আছে।,One fool is in the river.,mit̪ʔʈɛn bemblaha d̪ɔ gaɖaɾɛ menaa.
গতকাল তোমরা রান্না খেয়ে স্কুলে আসবে।,"Yesterday, you all eat the cooked food and then come to the school.",hɔlaɾɛ apɛ basaŋ ɟɔmkat̪ɛ iskulɾɛ hiɟuʔa.
জাদুবিদ্যাটি নতুন।,The sorcery is new.,ban d̪ɔ nɔwaa.
সেই সময় আমরা মাছ খেয়ে শহরে খেলব।,"At that time, we eat the fish and then play in the town.",ɔkt̪ɛɾɛ alɛ haku ɟɔmkat̪ɛ sɔhɔɽɾɛ gat̪ea.
সকালে তোমরা বাক্য দেখে হ্রদে খেলবে।,"In the morning, you all see the sentence and then play in the lake.",sɛt̪aʔɾɛ apɛ ajat ɲɛlkat̪ɛ ɟɔlaɾɛ gat̪ea.
আমরা গবাদিপশুর পাতলা পায়খানা দেখব।,We will see the scouring in cattle.,alɛ d̪ɔ aɽhəi̯ə ɲɛla.
আমরা ডাক্তার সাহায্য করেছিলাম।,We helped the doctor.,alɛlɛ ɖak̚t̪aɾ gɔɽɔkeda.
উঠানে একটি জারজ আছে।,There is a bastard in the courtyard of house.,bəteɾɛ bidʰuə̯ menaa.
সে বাবা সাহায্য করেছে।,He/she has helped the father.,uni d̪ɔ baba gɔɽɔakada.
সে খাবার পেয়েছে।,He/she has gotten the food.,uni d̪ɔ ɟɔmaʔ ɲamakada.
একটি পৈতৃক সম্পত্তি স্কুলে আছে।,One patrimony is in the school.,mit̪ʔʈɛn bapɔɾi dʰɔn d̪ɔ iskulɾɛ menaa.
পাড়াে একটি সময় আছে।,There is a time in the neighbourhood.,aɖe paseɾɛ ɔkt̪ɛ menaa.
স্কুলে একটি আখড়া আছে।,There is a gathering in the school.,iskulɾɛ akʰɾa menaa.
আমি ডাক্তার সাহায্য করব।,I will help the doctor.,iɲ d̪ɔ ɖak̚t̪aɾ gɔɽɔa.
গ্রামে একটি হিসাব আছে।,There is an account in the village.,at̪oɾɛ bil menaa.
তোমরা দুধ পান করবে না।,You all do not drink the milk.,apɛ d̪ɔ t̪o̯͡a bapɛ ɲua.
সকালে আমি ভাষা পড়ে কুয়ায় কাজ করব।,"In the morning, I study the language and then work in the well.",sɛt̪aʔɾɛ iɲ pɘɾsi paɽha͡o̯kat̪ɛ kuɲɾɛ kɘmia.
উঠানে একটি অনুশীলন আছে।,There is a practice in the courtyard of house.,bəteɾɛ bɛbɔhaɾ menaa.
উঠানে একটি মাথা ঘোরা আছে।,There is a vertigo in the courtyard of house.,bəteɾɛ bʰãoɾi menaa.
আমি মহাপ্লাবন ও দেবতা দেখব।,I will see the deluge and the deity.,iɲ d̪ɔ bajaban aɾ bʰokta ɲɛla.
"আমরা মা সাহায্য করব, কিন্তু মানুষ সাহায্য করব না।","We will help the mother, but do not help the person.",alɛ d̪ɔ gɔgɔ gɔɽɔa mɛnkʰan hɔɽ balɛ gɔɽɔa.
"সে মাছ খাবে, কিন্তু মধু খাবে না।","He/she will eat the fish, but does not eat the honey.",uni d̪ɔ haku ɟɔma mɛnkʰan ɲɛlɛɾasa bai̯ ɟɔma.
তুমি খাবার পাবে।,You will get the food.,am d̪ɔ ɟɔmaʔ ɲama.
"তোমরা আমড়া (ফল) দেখবে, কিন্তু আফিম দেখবে না।","You all will see the hog plum, but do not see the opium.",apɛ d̪ɔ bədʰiə̯ ɲɛla mɛnkʰan əpʰim bapɛ ɲɛla.
আমি সময় দেখব না।,I do not see the time.,iɲ d̪ɔ ɔkt̪ɛ bɘɲ ɲɛla.
শেষটি গুরুত্বপূর্ণ।,The end is important.,əkʰiɾ d̪ɔ ɟɘɾuɽa.
আমরা টাকা পাব।,We will get the money.,alɛ d̪ɔ ʈaka ɲama.
দয়া করে গ্রামে অপেক্ষা করো।,Please wait in the village.,d̪a.ja kat̪ɛ at̪oɾɛ t̪ɘŋgimɛ.
তোমরা ভাষা লিখবে।,You all will write the language.,apɛ d̪ɔ pɘɾsi ɔlɔʔa.
বাড়িতে একটি কষ্ট আছে।,There is a distress in the house.,ɔɽaʔɾɛ alad͡ʒʰala menaa.
সেই সময় তোমরা পানি পান করে নদীতে কাজ করবে।,"At that time, you all drink the water and then work in the river.",ɔkt̪ɛɾɛ apɛ d̪aʔ ɲukat̪ɛ gaɖaɾɛ kɘmia.
