file,utterance_id,start_ms,end_ms,bangla,english,ipa_original,ipa_normalized,segments,glosses,notes
synthetic_texts_glossed.eaf,314,669945,671588,[SYN.314] লজ্জাটি নতুন।,The shame is new.,bʰɔɾɔm d̪ɔ nɔwaa.,bʰɔɾɔm d̪ɔ nɔwa-a.,bʰɔɾɔm | d̪ɔ | nɔwa-a,shame | TOP | new-FIN,
synthetic_bangla_glossed.eaf,315,671588,674287,[SYN.315] আমরা রান্না ও খাবার খাব।,We will eat the cooked food and the food.,alɛ d̪ɔ basaŋ aɾ ɟɔmaʔ ɟɔma.,alɛ d̪ɔ basaŋ aɾ ɟɔmaʔ ɟɔm-a.,alɛ | d̪ɔ | basaŋ | aɾ | ɟɔmaʔ | ɟɔm-a,1PL.EXCL | TOP | cooked.food | and | food | eat-FIN,
synthetic_texts_glossed.eaf,316,674287,676005,[SYN.316] গুহাে একটি টাকা আছে।,There is a money in the cave.,bʰugək̕ɾɛ ʈaka menaa.,bʰugək̕-ɾɛ ʈaka mena-a.,bʰugək̕-ɾɛ | ʈaka | mena-a,cave-LOC | money | exist-FIN,Synthetic LOC + exist-FIN clause matching mena-a patterns.
synthetic_new_glossed.eaf,317,676005,678170,[SYN.317] আমি বাঁধ দেখেছি।,I have seen the embankment.,iɲ d̪ɔ band ɲɛlakada.,iɲ d̪ɔ band ɲɛl-akad-a.,iɲ | d̪ɔ | band | ɲɛl-akad-a,1SG | TOP | embankment | see-PRF-FIN,
synthetic_school_dialogue_glossed.eaf,318,678170,680849,[SYN.318] সেই সময় আমি ঘড়ি কিনে স্কুলে কাজ করব।,"At that time, I buy the watch and then work in the school.",ɔkt̪ɛɾɛ iɲ gʰuɽi kiɾiɲkat̪ɛ iskulɾɛ kɘmia.,ɔkt̪ɛ-ɾɛ iɲ gʰuɽi kiɾiɲ-kat̪ɛ iskul-ɾɛ kɘmi-a.,ɔkt̪ɛ-ɾɛ | iɲ | gʰuɽi | kiɾiɲ-kat̪ɛ | iskul-ɾɛ | kɘmi-a,time-LOC | 1SG | watch | buy-CVB | school-LOC | work-FIN,Synthetic sequential CVB clause with -kat̪ɛ.
synthetic_texts_glossed.eaf,319,680849,682677,[SYN.319] ভাইটি ভালো।,The brother is good.,bɔ͡i̯ha d̪ɔ mɔ̃ɟa.,bɔ͡i̯ha d̪ɔ mɔ̃ɟ-a.,bɔ͡i̯ha | d̪ɔ | mɔ̃ɟ-a,brother | TOP | good-FIN,
synthetic_paradigm_glossed.eaf,320,682677,684600,[SYN.320] তোমার বাবা আনন্দের।,Your father is happy.,amaʔ baba d̪ɔ ɾɘskɘa.,am-aʔ baba d̪ɔ ɾɘskɘ-a.,am-aʔ | baba | d̪ɔ | ɾɘskɘ-a,2SG-GEN | father | TOP | happy-FIN,
synthetic_see_paradigm.eaf,321,684600,687024,[SYN.321] আমরা ভাষা বলব না।,We do not speak the language.,alɛ d̪ɔ pɘɾsi balɛ ɾɔɽa.,alɛ d̪ɔ pɘɾsi ba-lɛ ɾɔɽ-a.,alɛ | d̪ɔ | pɘɾsi | ba-lɛ | ɾɔɽ-a,1PL.EXCL | TOP | language | NEG-1PL.EXCL | speak-FIN,
synthetic_texts_glossed.eaf,322,687024,688849,[SYN.322] বিস্তীর্ণ ভূমিে একটি পশুপাখির ডাক আছে।,There is a cry of beasts & c in the wide expanse of land.,bilənɾɛ aɳɖɾac̕ ɔɳɖɾɔc̕ menaa.,bilən-ɾɛ aɳɖɾac̕ ɔɳɖɾɔc̕ mena-a.,bilən-ɾɛ | aɳɖɾac̕ ɔɳɖɾɔc̕ | mena-a,wide.expanse.of-LOC | cry.of.beasts | exist-FIN,Synthetic LOC + exist-FIN clause matching mena-a patterns.
synthetic_paradigm_glossed.eaf,323,688849,690765,[SYN.323] তোমার খাবার পরিষ্কার।,Your food is clean.,amaʔ ɟɔmaʔ d̪ɔ sapʰaa.,am-aʔ ɟɔmaʔ d̪ɔ sapʰa-a.,am-aʔ | ɟɔmaʔ | d̪ɔ | sapʰa-a,2SG-GEN | food | TOP | clean-FIN,
synthetic_dialogues_glossed.eaf,324,690765,692954,[SYN.324] সে এখন কী করবে?,What will he/she do now?,nit̪ʔ cɛʔi̯ ceka ja.,nit̪ʔ cɛ-ʔ-i̯ cek-a ja.,nit̪ʔ | cɛ-ʔ-i̯ | cek-a | ja,now | what-NFIN-3SG.ANIM.SUBJ | do-FIN | Q,
synthetic_school_dialogue_glossed.eaf,325,692954,695680,[SYN.325] সেই সময় তুমি ডিমের কুসুম দেখে নদীতে যাবে।,"At that time, you see the yolk of egg and then go to the river.",ɔkt̪ɛɾɛ am bele botke ɲɛlkat̪ɛ gaɖaɾɛ calaʔa.,ɔkt̪ɛ-ɾɛ am bele botke ɲɛl-kat̪ɛ gaɖa-ɾɛ calaʔ-a.,ɔkt̪ɛ-ɾɛ | am | bele botke | ɲɛl-kat̪ɛ | gaɖa-ɾɛ | calaʔ-a,time-LOC | 2SG | yolk.of.egg | see-CVB | river-LOC | go-FIN,Synthetic sequential CVB clause with -kat̪ɛ.
synthetic_texts_glossed.eaf,326,695680,697284,[SYN.326] শহরে একটি প্রাচুর্য আছে।,There is an abundance in the town.,sɔhɔɽɾɛ at͡ʃel pat͡ʃel menaa.,sɔhɔɽ-ɾɛ at͡ʃel pat͡ʃel mena-a.,sɔhɔɽ-ɾɛ | at͡ʃel pat͡ʃel | mena-a,town-LOC | abundance | exist-FIN,Synthetic LOC + exist-FIN clause matching mena-a patterns.
synthetic_new_glossed.eaf,327,697284,699386,[SYN.327] তুমি ডাক্তার সাহায্য করেছ।,You have helped the doctor.,am d̪ɔ ɖak̚t̪aɾ gɔɽɔakada.,am d̪ɔ ɖak̚t̪aɾ gɔɽɔ-akad-a.,am | d̪ɔ | ɖak̚t̪aɾ | gɔɽɔ-akad-a,2SG | TOP | doctor | help-PRF-FIN,
synthetic_bangla_glossed.eaf,328,699386,701295,[SYN.328] তোমরা মোবাইল ফোন কিনবে।,You all will buy the mobile phone.,apɛ d̪ɔ mɔbaĭl pʰon kiɾiɲa.,apɛ d̪ɔ mɔbaĭl pʰon kiɾiɲ-a.,apɛ | d̪ɔ | mɔbaĭl pʰon | kiɾiɲ-a,2PL | TOP | mobile.phone | buy-FIN,
synthetic_texts_glossed.eaf,329,701295,703102,[SYN.329] শিশুটি ছোট।,The child is small.,gid̪ɾɘ d̪ɔ lɘʈua.,gid̪ɾɘ d̪ɔ lɘʈu-a.,gid̪ɾɘ | d̪ɔ | lɘʈu-a,child | TOP | small-FIN,
synthetic_dialogues_glossed.eaf,330,703102,706642,"[SYN.330] তারা মাছ কিনবে, কিন্তু ঔষধ কিনবে না।","They will buy the fish, but do not buy the medicine.",oŋko d̪ɔ haku kiɾiɲa mɛnkʰan ɾan bako kiɾiɲa.,oŋko d̪ɔ haku kiɾiɲ-a mɛnkʰan ɾan ba-ko kiɾiɲ-a.,oŋko | d̪ɔ | haku | kiɾiɲ-a | mɛnkʰan | ɾan | ba-ko | kiɾiɲ-a,3PL.ANIM | TOP | fish | buy-FIN | but | medicine | NEG-3PL.ANIM | buy-FIN,
synthetic_imperatives_glossed.eaf,331,706642,708848,[SYN.331] দয়া করে গ্রামে বসো।,Please sit in the village.,d̪a.ja kat̪ɛ at̪oɾɛ d̪uɽup̚ʔmɛ.,d̪a.ja kat̪ɛ at̪o-ɾɛ d̪uɽup̚ʔ-mɛ.,d̪a.ja | kat̪ɛ | at̪o-ɾɛ | d̪uɽup̚ʔ-mɛ,please | Manner | village-LOC | sit-IMP.2SG.POL,Synthetic polite imperative with d̪a.ja kat̪ɛ and -mɛ.
synthetic_school_dialogue_glossed.eaf,332,708848,711516,[SYN.332] সেই সময় তুমি রান্না খেয়ে হ্রদে খেলবে।,"At that time, you eat the cooked food and then play in the lake.",ɔkt̪ɛɾɛ am basaŋ ɟɔmkat̪ɛ ɟɔlaɾɛ gat̪ea.,ɔkt̪ɛ-ɾɛ am basaŋ ɟɔm-kat̪ɛ ɟɔla-ɾɛ gat̪e-a.,ɔkt̪ɛ-ɾɛ | am | basaŋ | ɟɔm-kat̪ɛ | ɟɔla-ɾɛ | gat̪e-a,time-LOC | 2SG | cooked.food | eat-CVB | lake-LOC | play-FIN,Synthetic sequential CVB clause with -kat̪ɛ.
synthetic_imperatives_glossed.eaf,333,711516,713660,[SYN.333] দয়া করে গ্রামে যাও।,Please go to the village.,d̪a.ja kat̪ɛ at̪oɾɛ calaʔmɛ.,d̪a.ja kat̪ɛ at̪o-ɾɛ calaʔ-mɛ.,d̪a.ja | kat̪ɛ | at̪o-ɾɛ | calaʔ-mɛ,please | Manner | village-LOC | go-IMP.2SG.POL,Synthetic polite imperative with d̪a.ja kat̪ɛ and -mɛ.
synthetic_bangla_glossed.eaf,334,713660,715853,[SYN.334] আমি রান্না খাব।,I will eat the cooked food.,iɲ d̪ɔ basaŋ ɟɔma.,iɲ d̪ɔ basaŋ ɟɔm-a.,iɲ | d̪ɔ | basaŋ | ɟɔm-a,1SG | TOP | cooked.food | eat-FIN,Synthetic transitive finite clause with TOP and FIN labels.
synthetic_texts_glossed.eaf,335,715853,717681,[SYN.335] গুড়গুড় শব্দটি নতুন।,The rumbling sound is new.,aʈap̕ uʈup̕ d̪ɔ nɔwaa.,aʈap̕ uʈup̕ d̪ɔ nɔwa-a.,aʈap̕ uʈup̕ | d̪ɔ | nɔwa-a,rumbling.sound | TOP | new-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_school_dialogue_glossed.eaf,336,717681,720300,[SYN.336] আজ তুমি পাঠ পড়ে বাড়িতে আসবে।,"Today, you study the lesson and then come to the house.",t̪eheɲɾɛ am sikʰnɘt̪ paɽha͡o̯kat̪ɛ ɔɽaʔɾɛ hiɟuʔa.,t̪eheɲ-ɾɛ am sikʰnɘt̪ paɽha͡o̯-kat̪ɛ ɔɽaʔ-ɾɛ hiɟuʔ-a.,t̪eheɲ-ɾɛ | am | sikʰnɘt̪ | paɽha͡o̯-kat̪ɛ | ɔɽaʔ-ɾɛ | hiɟuʔ-a,today-LOC | 2SG | lesson | study-CVB | house-LOC | come-FIN,
synthetic_texts_glossed.eaf,337,720300,721998,[SYN.337] মহাপ্লাবনটি নতুন।,The deluge is new.,bajaban d̪ɔ nɔwaa.,bajaban d̪ɔ nɔwa-a.,bajaban | d̪ɔ | nɔwa-a,deluge | TOP | new-FIN,
synthetic_see_paradigm.eaf,338,721998,723446,[SYN.338] তারা যাচ্ছে।,They are going.,oŋkoko calaʔɛd̪a.,oŋko-ko calaʔ-ɛ-d̪a.,oŋko-ko | calaʔ-ɛ-d̪a,3PL.ANIM-3PL.ANIM | go-PROG-FIN,
synthetic_paradigm_glossed.eaf,339,723446,724969,[SYN.339] আমরা ভাষা বলেছিলাম।,We spoke the language.,alɛlɛ pɘɾsi ɾɔɽkeda.,alɛ-lɛ pɘɾsi ɾɔɽ-ked-a.,alɛ-lɛ | pɘɾsi | ɾɔɽ-ked-a,1PL.EXCL-1PL.EXCL | language | speak-PST-FIN,
synthetic_bangla_glossed.eaf,340,724969,727161,[SYN.340] তারা ভাষা পড়বে।,They will study the language.,oŋko d̪ɔ pɘɾsi paɽha͡o̯a.,oŋko d̪ɔ pɘɾsi paɽha͡o̯-a.,oŋko | d̪ɔ | pɘɾsi | paɽha͡o̯-a,3PL.ANIM | TOP | language | study-FIN,
synthetic_school_dialogue_glossed.eaf,341,727161,729784,[SYN.341] গতকাল আমরা রান্না খেয়ে শহরে আসব।,"Yesterday, we eat the cooked food and then come to the town.",hɔlaɾɛ alɛ basaŋ ɟɔmkat̪ɛ sɔhɔɽɾɛ hiɟuʔa.,hɔla-ɾɛ alɛ basaŋ ɟɔm-kat̪ɛ sɔhɔɽ-ɾɛ hiɟuʔ-a.,hɔla-ɾɛ | alɛ | basaŋ | ɟɔm-kat̪ɛ | sɔhɔɽ-ɾɛ | hiɟuʔ-a,yesterday-LOC | 1PL.EXCL | cooked.food | eat-CVB | town-LOC | come-FIN,
synthetic_paradigm_glossed.eaf,342,729784,731826,[SYN.342] তার পা গুরুত্বপূর্ণ।,His/her foot is important.,uniaʔ kaʈa d̪ɔ ɟɘɾuɽa.,uni-aʔ kaʈa d̪ɔ ɟɘɾuɽ-a.,uni-aʔ | kaʈa | d̪ɔ | ɟɘɾuɽ-a,3SG-GEN | foot | TOP | important-FIN,
synthetic_bangla_glossed.eaf,343,731826,733792,[SYN.343] তোমরা ডাক্তার সাহায্য করবে।,You all will help the doctor.,apɛ d̪ɔ ɖak̚t̪aɾ gɔɽɔa.,apɛ d̪ɔ ɖak̚t̪aɾ gɔɽɔ-a.,apɛ | d̪ɔ | ɖak̚t̪aɾ | gɔɽɔ-a,2PL | TOP | doctor | help-FIN,
synthetic_texts_glossed.eaf,344,733792,735312,[SYN.344] মুহূর্তটি ভালো।,The moment is good.,abʰeɽ d̪ɔ mɔ̃ɟa.,abʰeɽ d̪ɔ mɔ̃ɟ-a.,abʰeɽ | d̪ɔ | mɔ̃ɟ-a,moment | TOP | good-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_texts_glossed.eaf,345,735312,736944,[SYN.345] মোবাইল ফোনটি গুরুত্বপূর্ণ।,The mobile phone is important.,mɔbaĭl pʰon d̪ɔ ɟɘɾuɽa.,mɔbaĭl pʰon d̪ɔ ɟɘɾuɽ-a.,mɔbaĭl pʰon | d̪ɔ | ɟɘɾuɽ-a,mobile.phone | TOP | important-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_see_paradigm.eaf,346,736944,738323,[SYN.346] তোমরা মারা যাচ্ছ।,You all are dying.,apɛpɛ gɔc̚ʔɛd̪a.,apɛ-pɛ gɔc̚ʔ-ɛ-d̪a.,apɛ-pɛ | gɔc̚ʔ-ɛ-d̪a,2PL-2PL | die-PROG-FIN,
synthetic_paradigm_glossed.eaf,347,738323,740385,[SYN.347] আমাদের কাজ গুরুত্বপূর্ণ।,Our work is important.,alɛaʔ kɘmi d̪ɔ ɟɘɾuɽa.,alɛ-aʔ kɘmi d̪ɔ ɟɘɾuɽ-a.,alɛ-aʔ | kɘmi | d̪ɔ | ɟɘɾuɽ-a,1PL.EXCL-GEN | work | TOP | important-FIN,
synthetic_paradigm_glossed.eaf,348,740385,741988,[SYN.348] তুমি খাবার পেয়েছিলে।,You got the food.,amɛm ɟɔmaʔ ɲamkeda.,am-ɛm ɟɔmaʔ ɲam-ked-a.,am-ɛm | ɟɔmaʔ | ɲam-ked-a,2SG-2SG | food | get-PST-FIN,
synthetic_see_paradigm.eaf,349,741988,744441,[SYN.349] তারা দুধ পান করবে না।,They do not drink the milk.,oŋko d̪ɔ t̪o̯͡a bako ɲua.,oŋko d̪ɔ t̪o̯͡a ba-ko ɲu-a.,oŋko | d̪ɔ | t̪o̯͡a | ba-ko | ɲu-a,3PL.ANIM | TOP | milk | NEG-3PL.ANIM | drink-FIN,Synthetic NEG-pronominal marker pattern from the see paradigm.
synthetic_texts_glossed.eaf,350,744441,746042,[SYN.350] পাড়াে একটি পা আছে।,There is a foot in the neighbourhood.,aɖe paseɾɛ kaʈa menaa.,aɖe pase-ɾɛ kaʈa mena-a.,aɖe pase-ɾɛ | kaʈa | mena-a,neighbourhood-LOC | foot | exist-FIN,
synthetic_see_paradigm.eaf,351,746042,747497,[SYN.351] তারা পাচ্ছে।,They are getting.,oŋkoko ɲamɛd̪a.,oŋko-ko ɲam-ɛ-d̪a.,oŋko-ko | ɲam-ɛ-d̪a,3PL.ANIM-3PL.ANIM | get-PROG-FIN,
synthetic_see_paradigm.eaf,352,747497,749943,[SYN.352] আমি ফোঁপানি দেখব না।,I do not see the blubbering.,iɲ d̪ɔ beɲ bɘɲ ɲɛla.,iɲ d̪ɔ beɲ bɘ-ɲ ɲɛl-a.,iɲ | d̪ɔ | beɲ | bɘ-ɲ | ɲɛl-a,1SG | TOP | blubbering | NEG-1SG | see-FIN,
synthetic_bangla_glossed.eaf,353,749943,752587,[SYN.353] তারা খাবার ও রান্না খাবে।,They will eat the food and the cooked food.,oŋko d̪ɔ ɟɔmaʔ aɾ basaŋ ɟɔma.,oŋko d̪ɔ ɟɔmaʔ aɾ basaŋ ɟɔm-a.,oŋko | d̪ɔ | ɟɔmaʔ | aɾ | basaŋ | ɟɔm-a,3PL.ANIM | TOP | food | and | cooked.food | eat-FIN,Synthetic coordination with aɾ 'and'.
synthetic_paradigm_glossed.eaf,354,752587,754415,[SYN.354] সে জিহ্বা দেখেছিল।,He/she saw the tongue.,unii̯ alaŋ ɲɛlkeda.,uni-i̯ alaŋ ɲɛl-ked-a.,uni-i̯ | alaŋ | ɲɛl-ked-a,3SG.ANIM-3SG.ANIM | tongue | see-PST-FIN,
synthetic_new_glossed_3.eaf,355,754415,756656,[SYN.355] একটি ঔষধ স্কুলে আছে।,One medicine is in the school.,mit̪ʔ ɾan d̪ɔ iskulɾɛ menaa.,mit̪ʔ ɾan d̪ɔ iskul-ɾɛ mena-a.,mit̪ʔ | ɾan | d̪ɔ | iskul-ɾɛ | mena-a,one | medicine | TOP | school-LOC | exist-FIN,
synthetic_bangla_glossed.eaf,356,756656,758633,[SYN.356] সে উল দেখবে।,He/she will see the wool.,uni d̪ɔ bʰiɖi up̕ ɲɛla.,uni d̪ɔ bʰiɖi up̕ ɲɛl-a.,uni | d̪ɔ | bʰiɖi up̕ | ɲɛl-a,3SG.ANIM | TOP | wool | see-FIN,
synthetic_school_dialogue_glossed.eaf,357,758633,761263,[SYN.357] আজ সে কথা লিখে বাড়িতে খেলবে।,"Today, he/she write the word and then play in the house.",t̪eheɲɾɛ uni kat̪ʰa ɔlɔʔkat̪ɛ ɔɽaʔɾɛ gat̪ea.,t̪eheɲ-ɾɛ uni kat̪ʰa ɔlɔʔ-kat̪ɛ ɔɽaʔ-ɾɛ gat̪e-a.,t̪eheɲ-ɾɛ | uni | kat̪ʰa | ɔlɔʔ-kat̪ɛ | ɔɽaʔ-ɾɛ | gat̪e-a,today-LOC | 3SG.ANIM | word | write-CVB | house-LOC | play-FIN,Synthetic sequential CVB clause with -kat̪ɛ.
synthetic_texts_glossed.eaf,358,761263,763112,[SYN.358] গ্রামে একটি কাজ আছে।,There is a work in the village.,at̪oɾɛ kɘmi menaa.,at̪o-ɾɛ kɘmi mena-a.,at̪o-ɾɛ | kɘmi | mena-a,village-LOC | work | exist-FIN,Synthetic LOC + exist-FIN clause matching mena-a patterns.
synthetic_paradigm_glossed.eaf,359,763112,764818,[SYN.359] আমরা খাবার কিনেছিলাম।,We bought the food.,alɛlɛ ɟɔmaʔ kiɾiɲkeda.,alɛ-lɛ ɟɔmaʔ kiɾiɲ-ked-a.,alɛ-lɛ | ɟɔmaʔ | kiɾiɲ-ked-a,1PL.EXCL-1PL.EXCL | food | buy-PST-FIN,
synthetic_paradigm_glossed.eaf,360,764818,766350,[SYN.360] তোমরা রান্না খেয়েছিলে।,You all ate the cooked food.,apɛpɛ basaŋ ɟɔmkeda.,apɛ-pɛ basaŋ ɟɔm-ked-a.,apɛ-pɛ | basaŋ | ɟɔm-ked-a,2PL-2PL | cooked.food | eat-PST-FIN,Synthetic PST-FIN transitive pattern using dictionary/core lexicon.
synthetic_paradigm_glossed.eaf,361,766350,767903,[SYN.361] আমি ভাষা লিখেছিলাম।,I wrote the language.,iɲiɲ pɘɾsi ɔlɔʔkeda.,iɲ-iɲ pɘɾsi ɔlɔʔ-ked-a.,iɲ-iɲ | pɘɾsi | ɔlɔʔ-ked-a,1SG-1SG | language | write-PST-FIN,
synthetic_bangla_glossed.eaf,362,767903,770827,[SYN.362] তোমরা মূল্যায়ন ও ডালিম দেখবে।,You all will see the appraisement and the pomegranate.,apɛ d̪ɔ anman aɾ anaɾ ɲɛla.,apɛ d̪ɔ anman aɾ anaɾ ɲɛl-a.,apɛ | d̪ɔ | anman | aɾ | anaɾ | ɲɛl-a,2PL | TOP | appraisement | and | pomegranate | see-FIN,
synthetic_see_paradigm.eaf,363,770827,773354,[SYN.363] তারা মাছ বিক্রি করবে না।,They do not sell the fish.,oŋko d̪ɔ haku bako ɘkʰɾiɲa.,oŋko d̪ɔ haku ba-ko ɘkʰɾiɲ-a.,oŋko | d̪ɔ | haku | ba-ko | ɘkʰɾiɲ-a,3PL.ANIM | TOP | fish | NEG-3PL.ANIM | sell-FIN,Synthetic NEG-pronominal marker pattern from the see paradigm.
synthetic_new_glossed_3.eaf,364,773354,775905,[SYN.364] একটি নবজাতক শহরে আছে।,One infant is in the town.,mit̪ʔʈɛn balɛ d̪ɔ sɔhɔɽɾɛ menaa.,mit̪ʔ-ʈɛn balɛ d̪ɔ sɔhɔɽ-ɾɛ mena-a.,mit̪ʔ-ʈɛn | balɛ | d̪ɔ | sɔhɔɽ-ɾɛ | mena-a,one-CLF.HUM | infant | TOP | town-LOC | exist-FIN,
synthetic_texts_glossed.eaf,365,775905,777479,[SYN.365] বাসস্থানে একটি রোগ আছে।,There is an illness in the dwelling place.,basɾɛ ɾu̯͡ɘ menaa.,bas-ɾɛ ɾu̯͡ɘ mena-a.,bas-ɾɛ | ɾu̯͡ɘ | mena-a,dwelling.place-LOC | illness | exist-FIN,
synthetic_see_paradigm.eaf,366,777479,778849,[SYN.366] আমি আসছি।,I am coming.,iɲiɲ hiɟuʔɛd̪a.,iɲ-iɲ hiɟuʔ-ɛ-d̪a.,iɲ-iɲ | hiɟuʔ-ɛ-d̪a,1SG-1SG | come-PROG-FIN,
synthetic_texts_glossed.eaf,367,778849,780557,[SYN.367] নেতাটি নতুন।,The leader is new.,aglaha d̪ɔ nɔwaa.,aglaha d̪ɔ nɔwa-a.,aglaha | d̪ɔ | nɔwa-a,leader | TOP | new-FIN,
synthetic_paradigm_glossed.eaf,368,780557,782236,[SYN.368] আমি ডাক্তার সাহায্য করেছিলাম।,I helped the doctor.,iɲiɲ ɖak̚t̪aɾ gɔɽɔkeda.,iɲ-iɲ ɖak̚t̪aɾ gɔɽɔ-ked-a.,iɲ-iɲ | ɖak̚t̪aɾ | gɔɽɔ-ked-a,1SG-1SG | doctor | help-PST-FIN,
synthetic_paradigm_glossed.eaf,369,782236,784314,[SYN.369] আমার ঘড়ি পরিষ্কার।,My watch is clean.,iɲaʔ gʰuɽi d̪ɔ sapʰaa.,iɲ-aʔ gʰuɽi d̪ɔ sapʰa-a.,iɲ-aʔ | gʰuɽi | d̪ɔ | sapʰa-a,1SG-GEN | watch | TOP | clean-FIN,
synthetic_paradigm_glossed.eaf,370,784314,786491,[SYN.370] তোমার পানি সুস্বাদু।,Your water is tasty.,amaʔ d̪aʔ d̪ɔ sibila.,am-aʔ d̪aʔ d̪ɔ sibil-a.,am-aʔ | d̪aʔ | d̪ɔ | sibil-a,2SG-GEN | water | TOP | tasty-FIN,Synthetic GEN + TOP clause using pronoun markers from ground truth.
synthetic_paradigm_glossed.eaf,371,786491,788586,[SYN.371] তার শহর গুরুত্বপূর্ণ।,His/her town is important.,uniaʔ sɔhɔɽ d̪ɔ ɟɘɾuɽa.,uni-aʔ sɔhɔɽ d̪ɔ ɟɘɾuɽ-a.,uni-aʔ | sɔhɔɽ | d̪ɔ | ɟɘɾuɽ-a,3SG-GEN | town | TOP | important-FIN,Synthetic GEN + TOP clause using pronoun markers from ground truth.
synthetic_new_glossed.eaf,372,788586,790661,[SYN.372] তুমি মাছ বিক্রি করেছ।,You have sold the fish.,am d̪ɔ haku ɘkʰɾiɲakada.,am d̪ɔ haku ɘkʰɾiɲ-akad-a.,am | d̪ɔ | haku | ɘkʰɾiɲ-akad-a,2SG | TOP | fish | sell-PRF-FIN,
synthetic_texts_glossed.eaf,373,790661,792447,[SYN.373] বাসিন্দাটি ছোট।,The inhabitant is small.,baskitiə̯ d̪ɔ lɘʈua.,baskitiə̯ d̪ɔ lɘʈu-a.,baskitiə̯ | d̪ɔ | lɘʈu-a,inhabitant | TOP | small-FIN,
synthetic_see_paradigm.eaf,374,792447,793772,[SYN.374] তোমরা সাহায্য করছ।,You all are helping.,apɛpɛ gɔɽɔɛd̪a.,apɛ-pɛ gɔɽɔ-ɛ-d̪a.,apɛ-pɛ | gɔɽɔ-ɛ-d̪a,2PL-2PL | help-PROG-FIN,
synthetic_bangla_glossed.eaf,375,793772,795832,[SYN.375] তুমি কথা বলবে।,You will speak the word.,am d̪ɔ kat̪ʰa ɾɔɽa.,am d̪ɔ kat̪ʰa ɾɔɽ-a.,am | d̪ɔ | kat̪ʰa | ɾɔɽ-a,2SG | TOP | word | speak-FIN,
synthetic_see_paradigm.eaf,376,795832,797109,[SYN.376] তুমি যাচ্ছ।,You is going.,amɛm calaʔɛd̪a.,am-ɛm calaʔ-ɛ-d̪a.,am-ɛm | calaʔ-ɛ-d̪a,2SG-2SG | go-PROG-FIN,Synthetic PROG-FIN agreement pattern based on see-paradigm rows.
synthetic_bangla_glossed.eaf,377,797109,799175,[SYN.377] তারা খাবার পাবে।,They will get the food.,oŋko d̪ɔ ɟɔmaʔ ɲama.,oŋko d̪ɔ ɟɔmaʔ ɲam-a.,oŋko | d̪ɔ | ɟɔmaʔ | ɲam-a,3PL.ANIM | TOP | food | get-FIN,
synthetic_paradigm_glossed.eaf,378,799175,801121,[SYN.378] আমাদের পশু তাড়ানোর লাঠি পরিষ্কার।,Our goad is clean.,alɛaʔ aɾd͡ʒan d̪ɔ sapʰaa.,alɛ-aʔ aɾd͡ʒan d̪ɔ sapʰa-a.,alɛ-aʔ | aɾd͡ʒan | d̪ɔ | sapʰa-a,1PL.EXCL-GEN | goad | TOP | clean-FIN,
synthetic_bangla_glossed.eaf,379,801121,803749,[SYN.379] তুমি খাবার ও মাছ খাবে।,You will eat the food and the fish.,am d̪ɔ ɟɔmaʔ aɾ haku ɟɔma.,am d̪ɔ ɟɔmaʔ aɾ haku ɟɔm-a.,am | d̪ɔ | ɟɔmaʔ | aɾ | haku | ɟɔm-a,2SG | TOP | food | and | fish | eat-FIN,
synthetic_new_glossed_3.eaf,380,803749,806019,[SYN.380] একটি ভিক্ষুক শহরে আছে।,One beggar is in the town.,mit̪ʔʈɛn bʰikʰəɾi d̪ɔ sɔhɔɽɾɛ menaa.,mit̪ʔ-ʈɛn bʰikʰəɾi d̪ɔ sɔhɔɽ-ɾɛ mena-a.,mit̪ʔ-ʈɛn | bʰikʰəɾi | d̪ɔ | sɔhɔɽ-ɾɛ | mena-a,one-CLF.HUM | beggar | TOP | town-LOC | exist-FIN,
synthetic_bangla_glossed.eaf,381,806019,807958,[SYN.381] আমি ভাষা বলব।,I will speak the language.,iɲ d̪ɔ pɘɾsi ɾɔɽa.,iɲ d̪ɔ pɘɾsi ɾɔɽ-a.,iɲ | d̪ɔ | pɘɾsi | ɾɔɽ-a,1SG | TOP | language | speak-FIN,
synthetic_bangla_glossed.eaf,382,807958,810887,[SYN.382] তুমি ঘড়ি ও ঔষধ কিনবে।,You will buy the watch and the medicine.,am d̪ɔ gʰuɽi aɾ ɾan kiɾiɲa.,am d̪ɔ gʰuɽi aɾ ɾan kiɾiɲ-a.,am | d̪ɔ | gʰuɽi | aɾ | ɾan | kiɾiɲ-a,2SG | TOP | watch | and | medicine | buy-FIN,Synthetic coordination with aɾ 'and'.
synthetic_bangla_glossed.eaf,383,810887,812818,[SYN.383] আমরা ঔষধ পাব।,We will get the medicine.,alɛ d̪ɔ ɾan ɲama.,alɛ d̪ɔ ɾan ɲam-a.,alɛ | d̪ɔ | ɾan | ɲam-a,1PL.EXCL | TOP | medicine | get-FIN,
