file,utterance_id,start_ms,end_ms,bangla,english,ipa_original,ipa_normalized,segments,glosses,notes
synthetic_bangla_glossed.eaf,334,709415,711527,[SYN.334] আমি রান্না খাব।,I will eat the cooked food.,iɲ d̪ɔ basaŋ ɟɔma.,iɲ d̪ɔ basaŋ ɟɔm-a.,iɲ | d̪ɔ | basaŋ | ɟɔm-a,1SG | TOP | cooked.food | eat-FIN,Synthetic transitive finite clause with TOP and FIN labels.
synthetic_texts_glossed.eaf,335,711527,713334,[SYN.335] গুড়গুড় শব্দটি নতুন।,The rumbling sound is new.,aʈap̕ uʈup̕ d̪ɔ nɔwaa.,aʈap̕ uʈup̕ d̪ɔ nɔwa-a.,aʈap̕ uʈup̕ | d̪ɔ | nɔwa-a,rumbling.sound | TOP | new-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_school_dialogue_glossed.eaf,336,713334,716097,[SYN.336] আজ তুমি পাঠ পড়ে বাড়িতে আসবে।,"Today, you study the lesson and then come to the house.",t̪eheɲɾɛ am sikʰnɘt̪ paɽha͡o̯kat̪ɛ ɔɽaʔɾɛ hiɟuʔa.,t̪eheɲ-ɾɛ am sikʰnɘt̪ paɽha͡o̯-kat̪ɛ ɔɽaʔ-ɾɛ hiɟuʔ-a.,t̪eheɲ-ɾɛ | am | sikʰnɘt̪ | paɽha͡o̯-kat̪ɛ | ɔɽaʔ-ɾɛ | hiɟuʔ-a,today-LOC | 2SG | lesson | study-CVB | house-LOC | come-FIN,
synthetic_texts_glossed.eaf,337,716097,717719,[SYN.337] মহাপ্লাবনটি নতুন।,The deluge is new.,bajaban d̪ɔ nɔwaa.,bajaban d̪ɔ nɔwa-a.,bajaban | d̪ɔ | nɔwa-a,deluge | TOP | new-FIN,
synthetic_see_paradigm.eaf,338,717719,719162,[SYN.338] তারা যাচ্ছে।,They are going.,oŋkoko calaʔɛd̪a.,oŋko-ko calaʔ-ɛ-d̪a.,oŋko-ko | calaʔ-ɛ-d̪a,3PL.ANIM-3PL.ANIM | go-PROG-FIN,
synthetic_paradigm_glossed.eaf,339,719162,720833,[SYN.339] আমরা ভাষা বলেছিলাম।,We spoke the language.,alɛlɛ pɘɾsi ɾɔɽkeda.,alɛ-lɛ pɘɾsi ɾɔɽ-ked-a.,alɛ-lɛ | pɘɾsi | ɾɔɽ-ked-a,1PL.EXCL-1PL.EXCL | language | speak-PST-FIN,
synthetic_bangla_glossed.eaf,340,720833,722765,[SYN.340] তারা ভাষা পড়বে।,They will study the language.,oŋko d̪ɔ pɘɾsi paɽha͡o̯a.,oŋko d̪ɔ pɘɾsi paɽha͡o̯-a.,oŋko | d̪ɔ | pɘɾsi | paɽha͡o̯-a,3PL.ANIM | TOP | language | study-FIN,
synthetic_school_dialogue_glossed.eaf,341,722765,725671,[SYN.341] গতকাল আমরা রান্না খেয়ে শহরে আসব।,"Yesterday, we eat the cooked food and then come to the town.",hɔlaɾɛ alɛ basaŋ ɟɔmkat̪ɛ sɔhɔɽɾɛ hiɟuʔa.,hɔla-ɾɛ alɛ basaŋ ɟɔm-kat̪ɛ sɔhɔɽ-ɾɛ hiɟuʔ-a.,hɔla-ɾɛ | alɛ | basaŋ | ɟɔm-kat̪ɛ | sɔhɔɽ-ɾɛ | hiɟuʔ-a,yesterday-LOC | 1PL.EXCL | cooked.food | eat-CVB | town-LOC | come-FIN,
synthetic_paradigm_glossed.eaf,342,725671,727863,[SYN.342] তার পা গুরুত্বপূর্ণ।,His/her foot is important.,uniaʔ kaʈa d̪ɔ ɟɘɾuɽa.,uni-aʔ kaʈa d̪ɔ ɟɘɾuɽ-a.,uni-aʔ | kaʈa | d̪ɔ | ɟɘɾuɽ-a,3SG-GEN | foot | TOP | important-FIN,
synthetic_bangla_glossed.eaf,343,727863,729778,[SYN.343] তোমরা ডাক্তার সাহায্য করবে।,You all will help the doctor.,apɛ d̪ɔ ɖak̚t̪aɾ gɔɽɔa.,apɛ d̪ɔ ɖak̚t̪aɾ gɔɽɔ-a.,apɛ | d̪ɔ | ɖak̚t̪aɾ | gɔɽɔ-a,2PL | TOP | doctor | help-FIN,
synthetic_texts_glossed.eaf,344,729778,731456,[SYN.344] মুহূর্তটি ভালো।,The moment is good.,abʰeɽ d̪ɔ mɔ̃ɟa.,abʰeɽ d̪ɔ mɔ̃ɟ-a.,abʰeɽ | d̪ɔ | mɔ̃ɟ-a,moment | TOP | good-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_texts_glossed.eaf,345,731456,733304,[SYN.345] মোবাইল ফোনটি গুরুত্বপূর্ণ।,The mobile phone is important.,mɔbaĭl pʰon d̪ɔ ɟɘɾuɽa.,mɔbaĭl pʰon d̪ɔ ɟɘɾuɽ-a.,mɔbaĭl pʰon | d̪ɔ | ɟɘɾuɽ-a,mobile.phone | TOP | important-FIN,Synthetic TOP + adjectival-FIN clause following layout A/B labels.
synthetic_see_paradigm.eaf,346,733304,734487,[SYN.346] তোমরা মারা যাচ্ছ।,You all are dying.,apɛpɛ gɔc̚ʔɛd̪a.,apɛ-pɛ gɔc̚ʔ-ɛ-d̪a.,apɛ-pɛ | gɔc̚ʔ-ɛ-d̪a,2PL-2PL | die-PROG-FIN,
synthetic_paradigm_glossed.eaf,347,734487,736604,[SYN.347] আমাদের কাজ গুরুত্বপূর্ণ।,Our work is important.,alɛaʔ kɘmi d̪ɔ ɟɘɾuɽa.,alɛ-aʔ kɘmi d̪ɔ ɟɘɾuɽ-a.,alɛ-aʔ | kɘmi | d̪ɔ | ɟɘɾuɽ-a,1PL.EXCL-GEN | work | TOP | important-FIN,
synthetic_paradigm_glossed.eaf,348,736604,738384,[SYN.348] তুমি খাবার পেয়েছিলে।,You got the food.,amɛm ɟɔmaʔ ɲamkeda.,am-ɛm ɟɔmaʔ ɲam-ked-a.,am-ɛm | ɟɔmaʔ | ɲam-ked-a,2SG-2SG | food | get-PST-FIN,
synthetic_see_paradigm.eaf,349,738384,740636,[SYN.349] তারা দুধ পান করবে না।,They do not drink the milk.,oŋko d̪ɔ t̪o̯͡a bako ɲua.,oŋko d̪ɔ t̪o̯͡a ba-ko ɲu-a.,oŋko | d̪ɔ | t̪o̯͡a | ba-ko | ɲu-a,3PL.ANIM | TOP | milk | NEG-3PL.ANIM | drink-FIN,Synthetic NEG-pronominal marker pattern from the see paradigm.
synthetic_texts_glossed.eaf,350,740636,742277,[SYN.350] পাড়াে একটি পা আছে।,There is a foot in the neighbourhood.,aɖe paseɾɛ kaʈa menaa.,aɖe pase-ɾɛ kaʈa mena-a.,aɖe pase-ɾɛ | kaʈa | mena-a,neighbourhood-LOC | foot | exist-FIN,
synthetic_see_paradigm.eaf,351,742277,743507,[SYN.351] তারা পাচ্ছে।,They are getting.,oŋkoko ɲamɛd̪a.,oŋko-ko ɲam-ɛ-d̪a.,oŋko-ko | ɲam-ɛ-d̪a,3PL.ANIM-3PL.ANIM | get-PROG-FIN,
synthetic_see_paradigm.eaf,352,743507,745966,[SYN.352] আমি ফোঁপানি দেখব না।,I do not see the blubbering.,iɲ d̪ɔ beɲ bɘɲ ɲɛla.,iɲ d̪ɔ beɲ bɘ-ɲ ɲɛl-a.,iɲ | d̪ɔ | beɲ | bɘ-ɲ | ɲɛl-a,1SG | TOP | blubbering | NEG-1SG | see-FIN,
synthetic_bangla_glossed.eaf,353,745966,748615,[SYN.353] তারা খাবার ও রান্না খাবে।,They will eat the food and the cooked food.,oŋko d̪ɔ ɟɔmaʔ aɾ basaŋ ɟɔma.,oŋko d̪ɔ ɟɔmaʔ aɾ basaŋ ɟɔm-a.,oŋko | d̪ɔ | ɟɔmaʔ | aɾ | basaŋ | ɟɔm-a,3PL.ANIM | TOP | food | and | cooked.food | eat-FIN,Synthetic coordination with aɾ 'and'.
synthetic_paradigm_glossed.eaf,354,748615,750440,[SYN.354] সে জিহ্বা দেখেছিল।,He/she saw the tongue.,unii̯ alaŋ ɲɛlkeda.,uni-i̯ alaŋ ɲɛl-ked-a.,uni-i̯ | alaŋ | ɲɛl-ked-a,3SG.ANIM-3SG.ANIM | tongue | see-PST-FIN,
synthetic_new_glossed_3.eaf,355,750440,752693,[SYN.355] একটি ঔষধ স্কুলে আছে।,One medicine is in the school.,mit̪ʔ ɾan d̪ɔ iskulɾɛ menaa.,mit̪ʔ ɾan d̪ɔ iskul-ɾɛ mena-a.,mit̪ʔ | ɾan | d̪ɔ | iskul-ɾɛ | mena-a,one | medicine | TOP | school-LOC | exist-FIN,
synthetic_bangla_glossed.eaf,356,752693,754893,[SYN.356] সে উল দেখবে।,He/she will see the wool.,uni d̪ɔ bʰiɖi up̕ ɲɛla.,uni d̪ɔ bʰiɖi up̕ ɲɛl-a.,uni | d̪ɔ | bʰiɖi up̕ | ɲɛl-a,3SG.ANIM | TOP | wool | see-FIN,
synthetic_school_dialogue_glossed.eaf,357,754893,757593,[SYN.357] আজ সে কথা লিখে বাড়িতে খেলবে।,"Today, he/she write the word and then play in the house.",t̪eheɲɾɛ uni kat̪ʰa ɔlɔʔkat̪ɛ ɔɽaʔɾɛ gat̪ea.,t̪eheɲ-ɾɛ uni kat̪ʰa ɔlɔʔ-kat̪ɛ ɔɽaʔ-ɾɛ gat̪e-a.,t̪eheɲ-ɾɛ | uni | kat̪ʰa | ɔlɔʔ-kat̪ɛ | ɔɽaʔ-ɾɛ | gat̪e-a,today-LOC | 3SG.ANIM | word | write-CVB | house-LOC | play-FIN,Synthetic sequential CVB clause with -kat̪ɛ.
synthetic_texts_glossed.eaf,358,757593,759418,[SYN.358] গ্রামে একটি কাজ আছে।,There is a work in the village.,at̪oɾɛ kɘmi menaa.,at̪o-ɾɛ kɘmi mena-a.,at̪o-ɾɛ | kɘmi | mena-a,village-LOC | work | exist-FIN,Synthetic LOC + exist-FIN clause matching mena-a patterns.
synthetic_paradigm_glossed.eaf,359,759418,761190,[SYN.359] আমরা খাবার কিনেছিলাম।,We bought the food.,alɛlɛ ɟɔmaʔ kiɾiɲkeda.,alɛ-lɛ ɟɔmaʔ kiɾiɲ-ked-a.,alɛ-lɛ | ɟɔmaʔ | kiɾiɲ-ked-a,1PL.EXCL-1PL.EXCL | food | buy-PST-FIN,
synthetic_paradigm_glossed.eaf,360,761190,762898,[SYN.360] তোমরা রান্না খেয়েছিলে।,You all ate the cooked food.,apɛpɛ basaŋ ɟɔmkeda.,apɛ-pɛ basaŋ ɟɔm-ked-a.,apɛ-pɛ | basaŋ | ɟɔm-ked-a,2PL-2PL | cooked.food | eat-PST-FIN,Synthetic PST-FIN transitive pattern using dictionary/core lexicon.
synthetic_paradigm_glossed.eaf,361,762898,764634,[SYN.361] আমি ভাষা লিখেছিলাম।,I wrote the language.,iɲiɲ pɘɾsi ɔlɔʔkeda.,iɲ-iɲ pɘɾsi ɔlɔʔ-ked-a.,iɲ-iɲ | pɘɾsi | ɔlɔʔ-ked-a,1SG-1SG | language | write-PST-FIN,
synthetic_bangla_glossed.eaf,362,764634,767297,[SYN.362] তোমরা মূল্যায়ন ও ডালিম দেখবে।,You all will see the appraisement and the pomegranate.,apɛ d̪ɔ anman aɾ anaɾ ɲɛla.,apɛ d̪ɔ anman aɾ anaɾ ɲɛl-a.,apɛ | d̪ɔ | anman | aɾ | anaɾ | ɲɛl-a,2PL | TOP | appraisement | and | pomegranate | see-FIN,
synthetic_see_paradigm.eaf,363,767297,769818,[SYN.363] তারা মাছ বিক্রি করবে না।,They do not sell the fish.,oŋko d̪ɔ haku bako ɘkʰɾiɲa.,oŋko d̪ɔ haku ba-ko ɘkʰɾiɲ-a.,oŋko | d̪ɔ | haku | ba-ko | ɘkʰɾiɲ-a,3PL.ANIM | TOP | fish | NEG-3PL.ANIM | sell-FIN,Synthetic NEG-pronominal marker pattern from the see paradigm.
synthetic_new_glossed_3.eaf,364,769818,772057,[SYN.364] একটি নবজাতক শহরে আছে।,One infant is in the town.,mit̪ʔʈɛn balɛ d̪ɔ sɔhɔɽɾɛ menaa.,mit̪ʔ-ʈɛn balɛ d̪ɔ sɔhɔɽ-ɾɛ mena-a.,mit̪ʔ-ʈɛn | balɛ | d̪ɔ | sɔhɔɽ-ɾɛ | mena-a,one-CLF.HUM | infant | TOP | town-LOC | exist-FIN,
synthetic_texts_glossed.eaf,365,772057,773680,[SYN.365] বাসস্থানে একটি রোগ আছে।,There is an illness in the dwelling place.,basɾɛ ɾu̯͡ɘ menaa.,bas-ɾɛ ɾu̯͡ɘ mena-a.,bas-ɾɛ | ɾu̯͡ɘ | mena-a,dwelling.place-LOC | illness | exist-FIN,
synthetic_see_paradigm.eaf,366,773680,774875,[SYN.366] আমি আসছি।,I am coming.,iɲiɲ hiɟuʔɛd̪a.,iɲ-iɲ hiɟuʔ-ɛ-d̪a.,iɲ-iɲ | hiɟuʔ-ɛ-d̪a,1SG-1SG | come-PROG-FIN,
synthetic_texts_glossed.eaf,367,774875,776699,[SYN.367] নেতাটি নতুন।,The leader is new.,aglaha d̪ɔ nɔwaa.,aglaha d̪ɔ nɔwa-a.,aglaha | d̪ɔ | nɔwa-a,leader | TOP | new-FIN,
synthetic_paradigm_glossed.eaf,368,776699,778270,[SYN.368] আমি ডাক্তার সাহায্য করেছিলাম।,I helped the doctor.,iɲiɲ ɖak̚t̪aɾ gɔɽɔkeda.,iɲ-iɲ ɖak̚t̪aɾ gɔɽɔ-ked-a.,iɲ-iɲ | ɖak̚t̪aɾ | gɔɽɔ-ked-a,1SG-1SG | doctor | help-PST-FIN,
synthetic_paradigm_glossed.eaf,369,778270,780261,[SYN.369] আমার ঘড়ি পরিষ্কার।,My watch is clean.,iɲaʔ gʰuɽi d̪ɔ sapʰaa.,iɲ-aʔ gʰuɽi d̪ɔ sapʰa-a.,iɲ-aʔ | gʰuɽi | d̪ɔ | sapʰa-a,1SG-GEN | watch | TOP | clean-FIN,
synthetic_paradigm_glossed.eaf,370,780261,782234,[SYN.370] তোমার পানি সুস্বাদু।,Your water is tasty.,amaʔ d̪aʔ d̪ɔ sibila.,am-aʔ d̪aʔ d̪ɔ sibil-a.,am-aʔ | d̪aʔ | d̪ɔ | sibil-a,2SG-GEN | water | TOP | tasty-FIN,Synthetic GEN + TOP clause using pronoun markers from ground truth.
synthetic_paradigm_glossed.eaf,371,782234,784326,[SYN.371] তার শহর গুরুত্বপূর্ণ।,His/her town is important.,uniaʔ sɔhɔɽ d̪ɔ ɟɘɾuɽa.,uni-aʔ sɔhɔɽ d̪ɔ ɟɘɾuɽ-a.,uni-aʔ | sɔhɔɽ | d̪ɔ | ɟɘɾuɽ-a,3SG-GEN | town | TOP | important-FIN,Synthetic GEN + TOP clause using pronoun markers from ground truth.
synthetic_new_glossed.eaf,372,784326,786220,[SYN.372] তুমি মাছ বিক্রি করেছ।,You have sold the fish.,am d̪ɔ haku ɘkʰɾiɲakada.,am d̪ɔ haku ɘkʰɾiɲ-akad-a.,am | d̪ɔ | haku | ɘkʰɾiɲ-akad-a,2SG | TOP | fish | sell-PRF-FIN,
synthetic_texts_glossed.eaf,373,786220,787825,[SYN.373] বাসিন্দাটি ছোট।,The inhabitant is small.,baskitiə̯ d̪ɔ lɘʈua.,baskitiə̯ d̪ɔ lɘʈu-a.,baskitiə̯ | d̪ɔ | lɘʈu-a,inhabitant | TOP | small-FIN,
synthetic_see_paradigm.eaf,374,787825,789057,[SYN.374] তোমরা সাহায্য করছ।,You all are helping.,apɛpɛ gɔɽɔɛd̪a.,apɛ-pɛ gɔɽɔ-ɛ-d̪a.,apɛ-pɛ | gɔɽɔ-ɛ-d̪a,2PL-2PL | help-PROG-FIN,
synthetic_bangla_glossed.eaf,375,789057,791071,[SYN.375] তুমি কথা বলবে।,You will speak the word.,am d̪ɔ kat̪ʰa ɾɔɽa.,am d̪ɔ kat̪ʰa ɾɔɽ-a.,am | d̪ɔ | kat̪ʰa | ɾɔɽ-a,2SG | TOP | word | speak-FIN,
synthetic_see_paradigm.eaf,376,791071,792270,[SYN.376] তুমি যাচ্ছ।,You is going.,amɛm calaʔɛd̪a.,am-ɛm calaʔ-ɛ-d̪a.,am-ɛm | calaʔ-ɛ-d̪a,2SG-2SG | go-PROG-FIN,Synthetic PROG-FIN agreement pattern based on see-paradigm rows.
synthetic_bangla_glossed.eaf,377,792270,794236,[SYN.377] তারা খাবার পাবে।,They will get the food.,oŋko d̪ɔ ɟɔmaʔ ɲama.,oŋko d̪ɔ ɟɔmaʔ ɲam-a.,oŋko | d̪ɔ | ɟɔmaʔ | ɲam-a,3PL.ANIM | TOP | food | get-FIN,
synthetic_paradigm_glossed.eaf,378,794236,796351,[SYN.378] আমাদের পশু তাড়ানোর লাঠি পরিষ্কার।,Our goad is clean.,alɛaʔ aɾd͡ʒan d̪ɔ sapʰaa.,alɛ-aʔ aɾd͡ʒan d̪ɔ sapʰa-a.,alɛ-aʔ | aɾd͡ʒan | d̪ɔ | sapʰa-a,1PL.EXCL-GEN | goad | TOP | clean-FIN,
synthetic_bangla_glossed.eaf,379,796351,799004,[SYN.379] তুমি খাবার ও মাছ খাবে।,You will eat the food and the fish.,am d̪ɔ ɟɔmaʔ aɾ haku ɟɔma.,am d̪ɔ ɟɔmaʔ aɾ haku ɟɔm-a.,am | d̪ɔ | ɟɔmaʔ | aɾ | haku | ɟɔm-a,2SG | TOP | food | and | fish | eat-FIN,
synthetic_new_glossed_3.eaf,380,799004,801351,[SYN.380] একটি ভিক্ষুক শহরে আছে।,One beggar is in the town.,mit̪ʔʈɛn bʰikʰəɾi d̪ɔ sɔhɔɽɾɛ menaa.,mit̪ʔ-ʈɛn bʰikʰəɾi d̪ɔ sɔhɔɽ-ɾɛ mena-a.,mit̪ʔ-ʈɛn | bʰikʰəɾi | d̪ɔ | sɔhɔɽ-ɾɛ | mena-a,one-CLF.HUM | beggar | TOP | town-LOC | exist-FIN,
synthetic_bangla_glossed.eaf,381,801351,803439,[SYN.381] আমি ভাষা বলব।,I will speak the language.,iɲ d̪ɔ pɘɾsi ɾɔɽa.,iɲ d̪ɔ pɘɾsi ɾɔɽ-a.,iɲ | d̪ɔ | pɘɾsi | ɾɔɽ-a,1SG | TOP | language | speak-FIN,
synthetic_bangla_glossed.eaf,382,803439,806207,[SYN.382] তুমি ঘড়ি ও ঔষধ কিনবে।,You will buy the watch and the medicine.,am d̪ɔ gʰuɽi aɾ ɾan kiɾiɲa.,am d̪ɔ gʰuɽi aɾ ɾan kiɾiɲ-a.,am | d̪ɔ | gʰuɽi | aɾ | ɾan | kiɾiɲ-a,2SG | TOP | watch | and | medicine | buy-FIN,Synthetic coordination with aɾ 'and'.
synthetic_bangla_glossed.eaf,383,806207,808383,[SYN.383] আমরা ঔষধ পাব।,We will get the medicine.,alɛ d̪ɔ ɾan ɲama.,alɛ d̪ɔ ɾan ɲam-a.,alɛ | d̪ɔ | ɾan | ɲam-a,1PL.EXCL | TOP | medicine | get-FIN,
synthetic_paradigm_glossed.eaf,384,808383,810477,[SYN.384] তাদের মধু ভালো।,Their honey is good.,oŋkoaʔ ɲɛlɛɾasa d̪ɔ mɔ̃ɟa.,oŋko-aʔ ɲɛlɛɾasa d̪ɔ mɔ̃ɟ-a.,oŋko-aʔ | ɲɛlɛɾasa | d̪ɔ | mɔ̃ɟ-a,3PL-GEN | honey | TOP | good-FIN,
synthetic_texts_glossed.eaf,385,810477,811994,[SYN.385] কিশোরটি পরিষ্কার।,The lad is clean.,bat͡ʃʰɽa d̪ɔ sapʰaa.,bat͡ʃʰɽa d̪ɔ sapʰa-a.,bat͡ʃʰɽa | d̪ɔ | sapʰa-a,lad | TOP | clean-FIN,
synthetic_bangla_glossed.eaf,386,811994,814028,[SYN.386] তোমরা খাবার কিনবে।,You all will buy the food.,apɛ d̪ɔ ɟɔmaʔ kiɾiɲa.,apɛ d̪ɔ ɟɔmaʔ kiɾiɲ-a.,apɛ | d̪ɔ | ɟɔmaʔ | kiɾiɲ-a,2PL | TOP | food | buy-FIN,
synthetic_school_dialogue_glossed.eaf,387,814028,816932,[SYN.387] সকালে আমরা ভাষা পড়ে স্কুলে যাব।,"In the morning, we study the language and then go to the school.",sɛt̪aʔɾɛ alɛ pɘɾsi paɽha͡o̯kat̪ɛ iskulɾɛ calaʔa.,sɛt̪aʔ-ɾɛ alɛ pɘɾsi paɽha͡o̯-kat̪ɛ iskul-ɾɛ calaʔ-a.,sɛt̪aʔ-ɾɛ | alɛ | pɘɾsi | paɽha͡o̯-kat̪ɛ | iskul-ɾɛ | calaʔ-a,morning-LOC | 1PL.EXCL | language | study-CVB | school-LOC | go-FIN,
synthetic_see_paradigm.eaf,388,816932,819420,[SYN.388] তারা মোবাইল ফোন বিক্রি করবে না।,They do not sell the mobile phone.,oŋko d̪ɔ mɔbaĭl pʰon bako ɘkʰɾiɲa.,oŋko d̪ɔ mɔbaĭl pʰon ba-ko ɘkʰɾiɲ-a.,oŋko | d̪ɔ | mɔbaĭl pʰon | ba-ko | ɘkʰɾiɲ-a,3PL.ANIM | TOP | mobile.phone | NEG-3PL.ANIM | sell-FIN,Synthetic NEG-pronominal marker pattern from the see paradigm.
synthetic_paradigm_glossed.eaf,389,819420,821431,[SYN.389] তাদের পূর্বপুরুষ গুরুত্বপূর্ণ।,Their patriarch is important.,oŋkoaʔ əgil hapɽam d̪ɔ ɟɘɾuɽa.,oŋko-aʔ əgil hapɽam d̪ɔ ɟɘɾuɽ-a.,oŋko-aʔ | əgil hapɽam | d̪ɔ | ɟɘɾuɽ-a,3PL-GEN | patriarch | TOP | important-FIN,
synthetic_school_dialogue_glossed.eaf,390,821431,824347,[SYN.390] আজ আমরা রান্না খেয়ে কুয়ায় যাব।,"Today, we eat the cooked food and then go to the well.",t̪eheɲɾɛ alɛ basaŋ ɟɔmkat̪ɛ kuɲɾɛ calaʔa.,t̪eheɲ-ɾɛ alɛ basaŋ ɟɔm-kat̪ɛ kuɲ-ɾɛ calaʔ-a.,t̪eheɲ-ɾɛ | alɛ | basaŋ | ɟɔm-kat̪ɛ | kuɲ-ɾɛ | calaʔ-a,today-LOC | 1PL.EXCL | cooked.food | eat-CVB | well-LOC | go-FIN,Synthetic sequential CVB clause with -kat̪ɛ.
synthetic_imperatives_glossed.eaf,391,824347,826454,[SYN.391] দয়া করে মাছ খাও।,Please eat the fish.,d̪a.ja kat̪ɛ haku ɟɔmmɛ.,d̪a.ja kat̪ɛ haku ɟɔm-mɛ.,d̪a.ja | kat̪ɛ | haku | ɟɔm-mɛ,please | Manner | fish | eat-IMP.2SG.POL,
synthetic_see_paradigm.eaf,392,826454,828718,[SYN.392] তারা রান্না খাবে না।,They do not eat the cooked food.,oŋko d̪ɔ basaŋ bako ɟɔma.,oŋko d̪ɔ basaŋ ba-ko ɟɔm-a.,oŋko | d̪ɔ | basaŋ | ba-ko | ɟɔm-a,3PL.ANIM | TOP | cooked.food | NEG-3PL.ANIM | eat-FIN,Synthetic NEG-pronominal marker pattern from the see paradigm.
synthetic_paradigm_glossed.eaf,393,828718,830390,[SYN.393] আমি ছবি পেয়েছিলাম।,I got the photo.,iɲiɲ pʰɔʈɔ ɲamkeda.,iɲ-iɲ pʰɔʈɔ ɲam-ked-a.,iɲ-iɲ | pʰɔʈɔ | ɲam-ked-a,1SG-1SG | photo | get-PST-FIN,Synthetic PST-FIN transitive pattern using dictionary/core lexicon.
synthetic_see_paradigm.eaf,394,830390,831807,[SYN.394] আমরা পাচ্ছি।,We are getting.,alɛlɛ ɲamɛd̪a.,alɛ-lɛ ɲam-ɛ-d̪a.,alɛ-lɛ | ɲam-ɛ-d̪a,1PL.EXCL-1PL.EXCL | get-PROG-FIN,
synthetic_paradigm_glossed.eaf,395,831807,833993,[SYN.395] তোমাদের বাজি ভালো।,Your bet is good.,apɛaʔ bəɾd͡ʒid d̪ɔ mɔ̃ɟa.,apɛ-aʔ bəɾd͡ʒid d̪ɔ mɔ̃ɟ-a.,apɛ-aʔ | bəɾd͡ʒid | d̪ɔ | mɔ̃ɟ-a,2PL-GEN | bet | TOP | good-FIN,Synthetic GEN + TOP clause using pronoun markers from ground truth.
synthetic_bangla_glossed.eaf,396,833993,836160,[SYN.396] সে মা সাহায্য করবে।,He/she will help the mother.,uni d̪ɔ gɔgɔ gɔɽɔa.,uni d̪ɔ gɔgɔ gɔɽɔ-a.,uni | d̪ɔ | gɔgɔ | gɔɽɔ-a,3SG.ANIM | TOP | mother | help-FIN,
synthetic_texts_glossed.eaf,397,836160,837767,[SYN.397] পাড়াে একটি প্রণয়ভঙ্গি আছে।,There is a coquetry in the neighbourhood.,aɖe paseɾɛ əngɾa menaa.,aɖe pase-ɾɛ əngɾa mena-a.,aɖe pase-ɾɛ | əngɾa | mena-a,neighbourhood-LOC | coquetry | exist-FIN,
synthetic_see_paradigm.eaf,398,837767,839233,[SYN.398] তোমরা খাচ্ছ।,You all are eating.,apɛpɛ ɟɔmɛd̪a.,apɛ-pɛ ɟɔm-ɛ-d̪a.,apɛ-pɛ | ɟɔm-ɛ-d̪a,2PL-2PL | eat-PROG-FIN,Synthetic PROG-FIN agreement pattern based on see-paradigm rows.
synthetic_texts_glossed.eaf,399,839233,840818,[SYN.399] উত্তরাধিকারটি ভালো।,The inheritance is good.,əi̯dəɾi d̪ɔ mɔ̃ɟa.,əi̯dəɾi d̪ɔ mɔ̃ɟ-a.,əi̯dəɾi | d̪ɔ | mɔ̃ɟ-a,inheritance | TOP | good-FIN,
synthetic_school_dialogue_glossed.eaf,400,840818,843458,[SYN.400] আজ তারা ঘড়ি কিনে কুয়ায় খেলবে।,"Today, they buy the watch and then play in the well.",t̪eheɲɾɛ oŋko gʰuɽi kiɾiɲkat̪ɛ kuɲɾɛ gat̪ea.,t̪eheɲ-ɾɛ oŋko gʰuɽi kiɾiɲ-kat̪ɛ kuɲ-ɾɛ gat̪e-a.,t̪eheɲ-ɾɛ | oŋko | gʰuɽi | kiɾiɲ-kat̪ɛ | kuɲ-ɾɛ | gat̪e-a,today-LOC | 3PL.ANIM | watch | buy-CVB | well-LOC | play-FIN,Synthetic sequential CVB clause with -kat̪ɛ.
synthetic_new_glossed.eaf,401,843458,845339,[SYN.401] তোমরা ভাষা লিখেছ।,You all have written the language.,apɛ d̪ɔ pɘɾsi ɔlɔʔakada.,apɛ d̪ɔ pɘɾsi ɔlɔʔ-akad-a.,apɛ | d̪ɔ | pɘɾsi | ɔlɔʔ-akad-a,2PL | TOP | language | write-PRF-FIN,
synthetic_texts_glossed.eaf,402,845339,846875,[SYN.402] আদালতটি নতুন।,The court is new.,adalot d̪ɔ nɔwaa.,adalot d̪ɔ nɔwa-a.,adalot | d̪ɔ | nɔwa-a,court | TOP | new-FIN,
synthetic_bangla_glossed.eaf,403,846875,849071,[SYN.403] তোমরা রক্তমূত্র দেখবে।,You all will see the haematuria.,apɛ d̪ɔ aɾak̕ d͡ʒʰaɾ ɲɛla.,apɛ d̪ɔ aɾak̕ d͡ʒʰaɾ ɲɛl-a.,apɛ | d̪ɔ | aɾak̕ d͡ʒʰaɾ | ɲɛl-a,2PL | TOP | haematuria | see-FIN,
synthetic_paradigm_glossed.eaf,404,849071,851088,[SYN.404] তোমার ঘড়ি গুরুত্বপূর্ণ।,Your watch is important.,amaʔ gʰuɽi d̪ɔ ɟɘɾuɽa.,am-aʔ gʰuɽi d̪ɔ ɟɘɾuɽ-a.,am-aʔ | gʰuɽi | d̪ɔ | ɟɘɾuɽ-a,2SG-GEN | watch | TOP | important-FIN,
