bangla,english,santali
সকালে সে পানি পান করে হ্রদে যাবে।,"In the morning, he/she drink the water and then go to the lake.",sɛt̪aʔɾɛ uni d̪aʔ ɲukat̪ɛ ɟɔlaɾɛ calaʔa.
তারা শ্রমিক ও এক প্রজাতির মাছ দেখবে।,They will see the navvy and the species of fish.,oŋko d̪ɔ beldaɾ aɾ badʰoɽ ɲɛla.
আমি ভাষা লিখব।,I will write the language.,iɲ d̪ɔ pɘɾsi ɔlɔʔa.
তাঁতের অংশটি গুরুত্বপূর্ণ।,The heddles of loom is important.,bade d̪ɔ ɟɘɾuɽa.
তোমাদের গুপ্তচর ছোট।,Your spy is small.,apɛaʔ baʈ paɽ d̪ɔ lɘʈua.
তোমরা টাকা পেয়েছ।,You all have gotten the money.,apɛ d̪ɔ ʈaka ɲamakada.
সকালে তুমি মাছ খেয়ে বাড়িতে খেলবে।,"In the morning, you eat the fish and then play in the house.",sɛt̪aʔɾɛ am haku ɟɔmkat̪ɛ ɔɽaʔɾɛ gat̪ea.
শহরে একটি নদী আছে।,There is a river in the town.,sɔhɔɽɾɛ gaɖa menaa.
শহরে একটি রোগ আছে।,There is an illness in the town.,sɔhɔɽɾɛ ɾu̯͡ɘ menaa.
তারা ভাষা লিখবে।,They will write the language.,oŋko d̪ɔ pɘɾsi ɔlɔʔa.
গানটি ভালো।,The song is good.,seɾeɲ d̪ɔ mɔ̃ɟa.
ঢালটি ভালো।,The declivity is good.,anaɽgo d̪ɔ mɔ̃ɟa.
আজ তোমরা অকাল জন্ম দেখে কুয়ায় কাজ করবে।,"Today, you all see the premature birth and then work in the well.",t̪eheɲɾɛ apɛ adpakolia ɲɛlkat̪ɛ kuɲɾɛ kɘmia.
গতকাল তুমি পাঠ পড়ে শহরে কাজ করবে।,"Yesterday, you study the lesson and then work in the town.",hɔlaɾɛ am sikʰnɘt̪ paɽha͡o̯kat̪ɛ sɔhɔɽɾɛ kɘmia.
সে ভাষা পড়বে।,He/she will study the language.,uni d̪ɔ pɘɾsi paɽha͡o̯a.
তারা কথা লিখবে না।,They do not write the word.,oŋko d̪ɔ kat̪ʰa bako ɔlɔʔa.
সে দুধ পান করবে না।,He/she does not drink the milk.,uni d̪ɔ t̪o̯͡a bai̯ ɲua.
গতকাল আমরা কথা পড়ে গ্রামে আসব।,"Yesterday, we study the word and then come to the village.",hɔlaɾɛ alɛ kat̪ʰa paɽha͡o̯kat̪ɛ at̪oɾɛ hiɟuʔa.
তোমার শিশু আনন্দের।,Your child is happy.,amaʔ gid̪ɾɘ d̪ɔ ɾɘskɘa.
সে খাবার খেয়েছে।,He/she has eaten the food.,uni d̪ɔ ɟɔmaʔ ɟɔmakada.
টাকাটি ভালো।,The money is good.,ʈaka d̪ɔ mɔ̃ɟa.
সে পাঠ পড়েছে।,He/she has studied the lesson.,uni d̪ɔ sikʰnɘt̪ paɽha͡o̯akada.
সে পড়ছে।,He/she is studying.,unii̯ paɽha͡o̯ɛd̪a.
সেই সময় তোমরা ঘড়ি কিনে স্কুলে আসবে।,"At that time, you all buy the watch and then come to the school.",ɔkt̪ɛɾɛ apɛ gʰuɽi kiɾiɲkat̪ɛ iskulɾɛ hiɟuʔa.
তারা পানি পান করেছিল।,They drank the water.,oŋkoko d̪aʔ ɲukeda.
আমরা কথা বলব না।,We do not speak the word.,alɛ d̪ɔ kat̪ʰa balɛ ɾɔɽa.
"তুমি খাবার বিক্রি করবে, কিন্তু মাছ বিক্রি করবে না।","You will sell the food, but do not sell the fish.",am d̪ɔ ɟɔmaʔ ɘkʰɾiɲa mɛnkʰan haku bam ɘkʰɾiɲa.
তোমরা মাছ খাবে।,You all will eat the fish.,apɛ d̪ɔ haku ɟɔma.
আজ তোমরা বাবা দেখে বাড়িতে খেলবে।,"Today, you all see the father and then play in the house.",t̪eheɲɾɛ apɛ apa ɲɛlkat̪ɛ ɔɽaʔɾɛ gat̪ea.
আমি বিড়াল দেখেছিলাম।,I saw the cat.,iɲiɲ pusi ɲɛlkeda.
গ্রামে একটি জীবন আছে।,There is a life in the village.,at̪oɾɛ ɟiŋgi menaa.
নদীতে একটি শুকর আছে।,There is a pig in the river.,gaɖaɾɛ suk̚ɾi menaa.
একটি বাসিন্দা কুয়ায় আছে।,One inhabitant is in the well.,mit̪ʔʈɛn baskitiə̯ d̪ɔ kuɲɾɛ menaa.
সে রান্না খেয়েছিল।,He/she ate the cooked food.,unii̯ basaŋ ɟɔmkeda.
তোমরা কাজ করছ।,You all are working.,apɛpɛ kɘmiɛd̪a.
সে রান্না খাবে।,He/she will eat the cooked food.,uni d̪ɔ basaŋ ɟɔma.
তোমরা কথা পড়েছিলে।,You all studied the word.,apɛpɛ kat̪ʰa paɽha͡o̯keda.
নিকটবর্তী এলাকাে একটি আতশবাজি আছে।,There is a fireworks in the vicinity.,aɖe ʈolaɾɛ bʰui̯t͡ʃampa menaa.
"তুমি রান্না খাবে, কিন্তু মাছ খাবে না।","You will eat the cooked food, but do not eat the fish.",am d̪ɔ basaŋ ɟɔma mɛnkʰan haku bam ɟɔma.
ভাইটি ছোট।,The brother is small.,baɾet d̪ɔ lɘʈua.
আমি ছবি পাব।,I will get the photo.,iɲ d̪ɔ pʰɔʈɔ ɲama.
গতকাল তোমরা ঘড়ি কিনে স্কুলে খেলবে।,"Yesterday, you all buy the watch and then play in the school.",hɔlaɾɛ apɛ gʰuɽi kiɾiɲkat̪ɛ iskulɾɛ gat̪ea.
আমরা অবিশ্বাসী দেখব না।,We do not see the heathen.,alɛ d̪ɔ bedin balɛ ɲɛla.
তোমরা ভাষা পড়বে।,You all will study the language.,apɛ d̪ɔ pɘɾsi paɽha͡o̯a.
সে মাছ বিক্রি করবে।,He/she will sell the fish.,uni d̪ɔ haku ɘkʰɾiɲa.
তারা কথা বলবে না।,They do not speak the word.,oŋko d̪ɔ kat̪ʰa bako ɾɔɽa.
তারা দুধ পান করেছে।,They have drunk the milk.,oŋko d̪ɔ t̪o̯͡a ɲuakada.
আমি ভাষা বলব না।,I do not speak the language.,iɲ d̪ɔ pɘɾsi bɘɲ ɾɔɽa.
বাসস্থানে একটি অজ্ঞতা আছে।,There is an ignorance in the dwelling place.,basɾɛ bʰut͡ʃ menaa.
গতকাল সে কথা লিখে নদীতে কাজ করবে।,"Yesterday, he/she write the word and then work in the river.",hɔlaɾɛ uni kat̪ʰa ɔlɔʔkat̪ɛ gaɖaɾɛ kɘmia.
তারা খাচ্ছে।,They are eating.,oŋkoko ɟɔmɛd̪a.
তুমি কেমন আছে?,How is you?,cɛt̪ʔlɛka menɛma.
সকালে তুমি গুজব রটনাকারী দেখে নদীতে কাজ করবে।,"In the morning, you see the gossiping and then work in the river.",sɛt̪aʔɾɛ am bəd͡ʒniə̯ ɲɛlkat̪ɛ gaɖaɾɛ kɘmia.
সে ঘড়ি বিক্রি করেছে।,He/she has sold the watch.,uni d̪ɔ gʰuɽi ɘkʰɾiɲakada.
তোমরা বিনিময় দেখবে না।,You all do not see the exchange.,apɛ d̪ɔ badla bapɛ ɲɛla.
আমরা ঔষধ কিনেছিলাম।,We bought the medicine.,alɛlɛ ɾan kiɾiɲkeda.
বাড়িটি নতুন।,The house is new.,ɔɽaʔ d̪ɔ nɔwaa.
আমরা ছবি পেয়েছি।,We have gotten the photo.,alɛ d̪ɔ pʰɔʈɔ ɲamakada.
তারা মা সাহায্য করবে।,They will help the mother.,oŋko d̪ɔ gɔgɔ gɔɽɔa.
আমরা ঔষধ ও মাছ কিনব।,We will buy the medicine and the fish.,alɛ d̪ɔ ɾan aɾ haku kiɾiɲa.
তারা ভাষা লিখেছিল।,They wrote the language.,oŋkoko pɘɾsi ɔlɔʔkeda.
একটি শিশু বাড়িতে আছে।,One baby is in the house.,mit̪ʔʈɛn bale d̪ɔ ɔɽaʔɾɛ menaa.
আমরা খাবার খাব।,We will eat the food.,alɛ d̪ɔ ɟɔmaʔ ɟɔma.
আমরা এখন কী করবে?,What will we do now?,nit̪ʔ cɛʔlɛ ceka ja.
"আমরা দুধ পান করব, কিন্তু পানি পান করব না।","We will drink the milk, but do not drink the water.",alɛ d̪ɔ t̪o̯͡a ɲua mɛnkʰan d̪aʔ balɛ ɲua.
তুমি খেলছ।,You is playing.,amɛm gat̪eɛd̪a.
আজ আমি চারা রোপণ দেখে শহরে যাব।,"Today, I see the transplantation and then go to the town.",t̪eheɲɾɛ iɲ apʰɔɾ ɲɛlkat̪ɛ sɔhɔɽɾɛ calaʔa.
তারা মোবাইল ফোন কিনবে না।,They do not buy the mobile phone.,oŋko d̪ɔ mɔbaĭl pʰon bako kiɾiɲa.
আমি ঘড়ি কিনব না।,I do not buy the watch.,iɲ d̪ɔ gʰuɽi bɘɲ kiɾiɲa.
আমি খাবার ও রান্না খাব।,I will eat the food and the cooked food.,iɲ d̪ɔ ɟɔmaʔ aɾ basaŋ ɟɔma.
পিঁপড়াটি আনন্দের।,The ant is happy.,muc̚ʔ d̪ɔ ɾɘskɘa.
লাভটি নতুন।,The profit is new.,baɾpʰəi̯ d̪ɔ nɔwaa.
আমরা খাবার ও মধু খাব।,We will eat the food and the honey.,alɛ d̪ɔ ɟɔmaʔ aɾ ɲɛlɛɾasa ɟɔma.
আমরা ডাক্তার সাহায্য করব।,We will help the doctor.,alɛ d̪ɔ ɖak̚t̪aɾ gɔɽɔa.
দয়া করে নদীতে অপেক্ষা করো।,Please wait in the river.,d̪a.ja kat̪ɛ gaɖaɾɛ t̪ɘŋgimɛ.
গানটি গুরুত্বপূর্ণ।,The song is important.,seɾeɲ d̪ɔ ɟɘɾuɽa.
সে অভিশাপ দেখেছিল।,He/she saw the curse.,unii̯ əsis ɲɛlkeda.
আমি খাবার খাব না।,I do not eat the food.,iɲ d̪ɔ ɟɔmaʔ bɘɲ ɟɔma.
আজ সে ভাষা লিখে নদীতে যাবে।,"Today, he/she write the language and then go to the river.",t̪eheɲɾɛ uni pɘɾsi ɔlɔʔkat̪ɛ gaɖaɾɛ calaʔa.
তোমার কষ্ট গুরুত্বপূর্ণ।,Your distress is important.,amaʔ alad͡ʒʰala d̪ɔ ɟɘɾuɽa.
তুমি ভাষা বলেছিলে।,You spoke the language.,amɛm pɘɾsi ɾɔɽkeda.
আমরা মধু খেয়েছিলাম।,We ate the honey.,alɛlɛ ɲɛlɛɾasa ɟɔmkeda.
আমরা মাছ বিক্রি করব না।,We do not sell the fish.,alɛ d̪ɔ haku balɛ ɘkʰɾiɲa.
আমি দুধ পান করব না।,I do not drink the milk.,iɲ d̪ɔ t̪o̯͡a bɘɲ ɲua.
বাসস্থানে একটি স্কুল আছে।,There is a school in the residence.,basaɾɛ iskul menaa.
তোমরা খাবার ও মাছ খাবে।,You all will eat the food and the fish.,apɛ d̪ɔ ɟɔmaʔ aɾ haku ɟɔma.
বাসস্থানে একটি কষ্ট আছে।,There is a distress in the dwelling place.,basɾɛ alad͡ʒʰala menaa.
গতকাল তোমরা দুধ পান করে নদীতে কাজ করবে।,"Yesterday, you all drink the milk and then work in the river.",hɔlaɾɛ apɛ t̪o̯͡a ɲukat̪ɛ gaɖaɾɛ kɘmia.
তারা কথা বলেছে।,They have spoken the word.,oŋko d̪ɔ kat̪ʰa ɾɔɽakada.
লজ্জাটি নতুন।,The shame is new.,bʰɔɾɔm d̪ɔ nɔwaa.
আমরা রান্না ও খাবার খাব।,We will eat the cooked food and the food.,alɛ d̪ɔ basaŋ aɾ ɟɔmaʔ ɟɔma.
গুহাে একটি টাকা আছে।,There is a money in the cave.,bʰugək̕ɾɛ ʈaka menaa.
আমি বাঁধ দেখেছি।,I have seen the embankment.,iɲ d̪ɔ band ɲɛlakada.
সেই সময় আমি ঘড়ি কিনে স্কুলে কাজ করব।,"At that time, I buy the watch and then work in the school.",ɔkt̪ɛɾɛ iɲ gʰuɽi kiɾiɲkat̪ɛ iskulɾɛ kɘmia.
ভাইটি ভালো।,The brother is good.,bɔ͡i̯ha d̪ɔ mɔ̃ɟa.
তোমার বাবা আনন্দের।,Your father is happy.,amaʔ baba d̪ɔ ɾɘskɘa.
আমরা ভাষা বলব না।,We do not speak the language.,alɛ d̪ɔ pɘɾsi balɛ ɾɔɽa.
বিস্তীর্ণ ভূমিে একটি পশুপাখির ডাক আছে।,There is a cry of beasts & c in the wide expanse of land.,bilənɾɛ aɳɖɾac̕ ɔɳɖɾɔc̕ menaa.
তোমার খাবার পরিষ্কার।,Your food is clean.,amaʔ ɟɔmaʔ d̪ɔ sapʰaa.
সে এখন কী করবে?,What will he/she do now?,nit̪ʔ cɛʔi̯ ceka ja.
সেই সময় তুমি ডিমের কুসুম দেখে নদীতে যাবে।,"At that time, you see the yolk of egg and then go to the river.",ɔkt̪ɛɾɛ am bele botke ɲɛlkat̪ɛ gaɖaɾɛ calaʔa.
শহরে একটি প্রাচুর্য আছে।,There is an abundance in the town.,sɔhɔɽɾɛ at͡ʃel pat͡ʃel menaa.
তুমি ডাক্তার সাহায্য করেছ।,You have helped the doctor.,am d̪ɔ ɖak̚t̪aɾ gɔɽɔakada.
তোমরা মোবাইল ফোন কিনবে।,You all will buy the mobile phone.,apɛ d̪ɔ mɔbaĭl pʰon kiɾiɲa.
শিশুটি ছোট।,The child is small.,gid̪ɾɘ d̪ɔ lɘʈua.
"তারা মাছ কিনবে, কিন্তু ঔষধ কিনবে না।","They will buy the fish, but do not buy the medicine.",oŋko d̪ɔ haku kiɾiɲa mɛnkʰan ɾan bako kiɾiɲa.
দয়া করে গ্রামে বসো।,Please sit in the village.,d̪a.ja kat̪ɛ at̪oɾɛ d̪uɽup̚ʔmɛ.
সেই সময় তুমি রান্না খেয়ে হ্রদে খেলবে।,"At that time, you eat the cooked food and then play in the lake.",ɔkt̪ɛɾɛ am basaŋ ɟɔmkat̪ɛ ɟɔlaɾɛ gat̪ea.
দয়া করে গ্রামে যাও।,Please go to the village.,d̪a.ja kat̪ɛ at̪oɾɛ calaʔmɛ.
আমি রান্না খাব।,I will eat the cooked food.,iɲ d̪ɔ basaŋ ɟɔma.
গুড়গুড় শব্দটি নতুন।,The rumbling sound is new.,aʈap̕ uʈup̕ d̪ɔ nɔwaa.
আজ তুমি পাঠ পড়ে বাড়িতে আসবে।,"Today, you study the lesson and then come to the house.",t̪eheɲɾɛ am sikʰnɘt̪ paɽha͡o̯kat̪ɛ ɔɽaʔɾɛ hiɟuʔa.
মহাপ্লাবনটি নতুন।,The deluge is new.,bajaban d̪ɔ nɔwaa.
তারা যাচ্ছে।,They are going.,oŋkoko calaʔɛd̪a.
আমরা ভাষা বলেছিলাম।,We spoke the language.,alɛlɛ pɘɾsi ɾɔɽkeda.
তারা ভাষা পড়বে।,They will study the language.,oŋko d̪ɔ pɘɾsi paɽha͡o̯a.
গতকাল আমরা রান্না খেয়ে শহরে আসব।,"Yesterday, we eat the cooked food and then come to the town.",hɔlaɾɛ alɛ basaŋ ɟɔmkat̪ɛ sɔhɔɽɾɛ hiɟuʔa.
তার পা গুরুত্বপূর্ণ।,His/her foot is important.,uniaʔ kaʈa d̪ɔ ɟɘɾuɽa.
তোমরা ডাক্তার সাহায্য করবে।,You all will help the doctor.,apɛ d̪ɔ ɖak̚t̪aɾ gɔɽɔa.
মুহূর্তটি ভালো।,The moment is good.,abʰeɽ d̪ɔ mɔ̃ɟa.
মোবাইল ফোনটি গুরুত্বপূর্ণ।,The mobile phone is important.,mɔbaĭl pʰon d̪ɔ ɟɘɾuɽa.
তোমরা মারা যাচ্ছ।,You all are dying.,apɛpɛ gɔc̚ʔɛd̪a.
আমাদের কাজ গুরুত্বপূর্ণ।,Our work is important.,alɛaʔ kɘmi d̪ɔ ɟɘɾuɽa.
তুমি খাবার পেয়েছিলে।,You got the food.,amɛm ɟɔmaʔ ɲamkeda.
তারা দুধ পান করবে না।,They do not drink the milk.,oŋko d̪ɔ t̪o̯͡a bako ɲua.
পাড়াে একটি পা আছে।,There is a foot in the neighbourhood.,aɖe paseɾɛ kaʈa menaa.
তারা পাচ্ছে।,They are getting.,oŋkoko ɲamɛd̪a.
আমি ফোঁপানি দেখব না।,I do not see the blubbering.,iɲ d̪ɔ beɲ bɘɲ ɲɛla.
তারা খাবার ও রান্না খাবে।,They will eat the food and the cooked food.,oŋko d̪ɔ ɟɔmaʔ aɾ basaŋ ɟɔma.
সে জিহ্বা দেখেছিল।,He/she saw the tongue.,unii̯ alaŋ ɲɛlkeda.
একটি ঔষধ স্কুলে আছে।,One medicine is in the school.,mit̪ʔ ɾan d̪ɔ iskulɾɛ menaa.
সে উল দেখবে।,He/she will see the wool.,uni d̪ɔ bʰiɖi up̕ ɲɛla.
আজ সে কথা লিখে বাড়িতে খেলবে।,"Today, he/she write the word and then play in the house.",t̪eheɲɾɛ uni kat̪ʰa ɔlɔʔkat̪ɛ ɔɽaʔɾɛ gat̪ea.
গ্রামে একটি কাজ আছে।,There is a work in the village.,at̪oɾɛ kɘmi menaa.
আমরা খাবার কিনেছিলাম।,We bought the food.,alɛlɛ ɟɔmaʔ kiɾiɲkeda.
তোমরা রান্না খেয়েছিলে।,You all ate the cooked food.,apɛpɛ basaŋ ɟɔmkeda.
আমি ভাষা লিখেছিলাম।,I wrote the language.,iɲiɲ pɘɾsi ɔlɔʔkeda.
তোমরা মূল্যায়ন ও ডালিম দেখবে।,You all will see the appraisement and the pomegranate.,apɛ d̪ɔ anman aɾ anaɾ ɲɛla.
তারা মাছ বিক্রি করবে না।,They do not sell the fish.,oŋko d̪ɔ haku bako ɘkʰɾiɲa.
একটি নবজাতক শহরে আছে।,One infant is in the town.,mit̪ʔʈɛn balɛ d̪ɔ sɔhɔɽɾɛ menaa.
বাসস্থানে একটি রোগ আছে।,There is an illness in the dwelling place.,basɾɛ ɾu̯͡ɘ menaa.
আমি আসছি।,I am coming.,iɲiɲ hiɟuʔɛd̪a.
নেতাটি নতুন।,The leader is new.,aglaha d̪ɔ nɔwaa.
আমি ডাক্তার সাহায্য করেছিলাম।,I helped the doctor.,iɲiɲ ɖak̚t̪aɾ gɔɽɔkeda.
আমার ঘড়ি পরিষ্কার।,My watch is clean.,iɲaʔ gʰuɽi d̪ɔ sapʰaa.
তোমার পানি সুস্বাদু।,Your water is tasty.,amaʔ d̪aʔ d̪ɔ sibila.
তার শহর গুরুত্বপূর্ণ।,His/her town is important.,uniaʔ sɔhɔɽ d̪ɔ ɟɘɾuɽa.
তুমি মাছ বিক্রি করেছ।,You have sold the fish.,am d̪ɔ haku ɘkʰɾiɲakada.
বাসিন্দাটি ছোট।,The inhabitant is small.,baskitiə̯ d̪ɔ lɘʈua.
তোমরা সাহায্য করছ।,You all are helping.,apɛpɛ gɔɽɔɛd̪a.
তুমি কথা বলবে।,You will speak the word.,am d̪ɔ kat̪ʰa ɾɔɽa.
তুমি যাচ্ছ।,You is going.,amɛm calaʔɛd̪a.
তারা খাবার পাবে।,They will get the food.,oŋko d̪ɔ ɟɔmaʔ ɲama.
আমাদের পশু তাড়ানোর লাঠি পরিষ্কার।,Our goad is clean.,alɛaʔ aɾd͡ʒan d̪ɔ sapʰaa.
তুমি খাবার ও মাছ খাবে।,You will eat the food and the fish.,am d̪ɔ ɟɔmaʔ aɾ haku ɟɔma.
একটি ভিক্ষুক শহরে আছে।,One beggar is in the town.,mit̪ʔʈɛn bʰikʰəɾi d̪ɔ sɔhɔɽɾɛ menaa.
আমি ভাষা বলব।,I will speak the language.,iɲ d̪ɔ pɘɾsi ɾɔɽa.
তুমি ঘড়ি ও ঔষধ কিনবে।,You will buy the watch and the medicine.,am d̪ɔ gʰuɽi aɾ ɾan kiɾiɲa.
আমরা ঔষধ পাব।,We will get the medicine.,alɛ d̪ɔ ɾan ɲama.
তাদের মধু ভালো।,Their honey is good.,oŋkoaʔ ɲɛlɛɾasa d̪ɔ mɔ̃ɟa.
কিশোরটি পরিষ্কার।,The lad is clean.,bat͡ʃʰɽa d̪ɔ sapʰaa.
তোমরা খাবার কিনবে।,You all will buy the food.,apɛ d̪ɔ ɟɔmaʔ kiɾiɲa.
সকালে আমরা ভাষা পড়ে স্কুলে যাব।,"In the morning, we study the language and then go to the school.",sɛt̪aʔɾɛ alɛ pɘɾsi paɽha͡o̯kat̪ɛ iskulɾɛ calaʔa.
তারা মোবাইল ফোন বিক্রি করবে না।,They do not sell the mobile phone.,oŋko d̪ɔ mɔbaĭl pʰon bako ɘkʰɾiɲa.
তাদের পূর্বপুরুষ গুরুত্বপূর্ণ।,Their patriarch is important.,oŋkoaʔ əgil hapɽam d̪ɔ ɟɘɾuɽa.
আজ আমরা রান্না খেয়ে কুয়ায় যাব।,"Today, we eat the cooked food and then go to the well.",t̪eheɲɾɛ alɛ basaŋ ɟɔmkat̪ɛ kuɲɾɛ calaʔa.
দয়া করে মাছ খাও।,Please eat the fish.,d̪a.ja kat̪ɛ haku ɟɔmmɛ.
তারা রান্না খাবে না।,They do not eat the cooked food.,oŋko d̪ɔ basaŋ bako ɟɔma.
আমি ছবি পেয়েছিলাম।,I got the photo.,iɲiɲ pʰɔʈɔ ɲamkeda.
আমরা পাচ্ছি।,We are getting.,alɛlɛ ɲamɛd̪a.
তোমাদের বাজি ভালো।,Your bet is good.,apɛaʔ bəɾd͡ʒid d̪ɔ mɔ̃ɟa.
সে মা সাহায্য করবে।,He/she will help the mother.,uni d̪ɔ gɔgɔ gɔɽɔa.
পাড়াে একটি প্রণয়ভঙ্গি আছে।,There is a coquetry in the neighbourhood.,aɖe paseɾɛ əngɾa menaa.
তোমরা খাচ্ছ।,You all are eating.,apɛpɛ ɟɔmɛd̪a.
উত্তরাধিকারটি ভালো।,The inheritance is good.,əi̯dəɾi d̪ɔ mɔ̃ɟa.
আজ তারা ঘড়ি কিনে কুয়ায় খেলবে।,"Today, they buy the watch and then play in the well.",t̪eheɲɾɛ oŋko gʰuɽi kiɾiɲkat̪ɛ kuɲɾɛ gat̪ea.
তোমরা ভাষা লিখেছ।,You all have written the language.,apɛ d̪ɔ pɘɾsi ɔlɔʔakada.
আদালতটি নতুন।,The court is new.,adalot d̪ɔ nɔwaa.
তোমরা রক্তমূত্র দেখবে।,You all will see the haematuria.,apɛ d̪ɔ aɾak̕ d͡ʒʰaɾ ɲɛla.
তোমার ঘড়ি গুরুত্বপূর্ণ।,Your watch is important.,amaʔ gʰuɽi d̪ɔ ɟɘɾuɽa.
সে ভাষা লিখেছিল।,He/she wrote the language.,unii̯ pɘɾsi ɔlɔʔkeda.
প্রতিবেশীটি গুরুত্বপূর্ণ।,The neighbours is important.,aɖepaseɾenko d̪ɔ ɟɘɾuɽa.
তোমরা মা সাহায্য করেছিলে।,You all helped the mother.,apɛpɛ gɔgɔ gɔɽɔkeda.
শহর কোথায় আছে?,Where is the town?,sɔhɔɽ d̪ɔ ɔkaɾɛ menaa.
তোমাদের পুঁজ নতুন।,Your pus is new.,apɛaʔ bele d̪ɔ nɔwaa.
আমাদের মজুরি নতুন।,Our wages is new.,alɛaʔ bən d̪ɔ nɔwaa.
তুমি ঘড়ি বিক্রি করবে।,You will sell the watch.,am d̪ɔ gʰuɽi ɘkʰɾiɲa.
তারা খাবার পেয়েছে।,They have gotten the food.,oŋko d̪ɔ ɟɔmaʔ ɲamakada.
তোমরা যাচ্ছ।,You all are going.,apɛpɛ calaʔɛd̪a.
উই পোকাটি ছোট।,The termite is small.,bʰuku d̪ɔ lɘʈua.
"তুমি ঘড়ি বিক্রি করবে, কিন্তু খাবার বিক্রি করবে না।","You will sell the watch, but do not sell the food.",am d̪ɔ gʰuɽi ɘkʰɾiɲa mɛnkʰan ɟɔmaʔ bam ɘkʰɾiɲa.
একটি ঔষধ কুয়ায় আছে।,One medicine is in the well.,mit̪ʔ ɾan d̪ɔ kuɲɾɛ menaa.
তোমাদের আয়না নতুন।,Your mirror is new.,apɛaʔ əɾsi d̪ɔ nɔwaa.
দয়া করে কুয়ায় অপেক্ষা করো।,Please wait in the well.,d̪a.ja kat̪ɛ kuɲɾɛ t̪ɘŋgimɛ.
তাদের ফুল গুরুত্বপূর্ণ।,Their flower is important.,oŋkoaʔ baha d̪ɔ ɟɘɾuɽa.
একটি বাঘ নদীতে আছে।,One tiger is in the river.,mit̪ʔʈɛn t̪ɘɾup̚ʔ d̪ɔ gaɖaɾɛ menaa.
আমরা দুধ পান করেছিলাম।,We drank the milk.,alɛlɛ t̪o̯͡a ɲukeda.
আমরা পানি পান করব না।,We do not drink the water.,alɛ d̪ɔ d̪aʔ balɛ ɲua.
অসম্মানটি গুরুত্বপূর্ণ।,The disrespect is important.,bɛmanɔt d̪ɔ ɟɘɾuɽa.
তোমাদের পা গুরুত্বপূর্ণ।,Your foot is important.,apɛaʔ kaʈa d̪ɔ ɟɘɾuɽa.
আমরা একমুঠো ও টকশাক দেখব।,We will see the handful and the sorel.,alɛ d̪ɔ aɲd͡ʒle aɾ aɾak̕ kudɾum ɲɛla.
"তোমরা প্রণয়ন দেখবে, কিন্তু যন্ত্রপাতি দেখবে না।","You all will see the enactment, but do not see the appliance.",apɛ d̪ɔ ən ɲɛla mɛnkʰan bandʰec̕ bapɛ ɲɛla.
একটি শিশু শহরে আছে।,One child is in the town.,mit̪ʔʈɛn gid̪ɾɘ d̪ɔ sɔhɔɽɾɛ menaa.
বৈশাখ মাসটি পরিষ্কার।,The april-may is clean.,bəi̯sək d̪ɔ sapʰaa.
সকালে তুমি দুধ পান করে গ্রামে আসবে।,"In the morning, you drink the milk and then come to the village.",sɛt̪aʔɾɛ am t̪o̯͡a ɲukat̪ɛ at̪oɾɛ hiɟuʔa.
নদীতে একটি গান আছে।,There is a song in the river.,gaɖaɾɛ seɾeɲ menaa.
সে ঘড়ি বিক্রি করবে।,He/she will sell the watch.,uni d̪ɔ gʰuɽi ɘkʰɾiɲa.
স্কুলে একটি ভাষা আছে।,There is a language in the school.,iskulɾɛ pɘɾsi menaa.
আমি খাবার পাব।,I will get the food.,iɲ d̪ɔ ɟɔmaʔ ɲama.
মাটি ছোট।,The mother is small.,gɔgɔ d̪ɔ lɘʈua.
বাসস্থানে একটি খড় আছে।,There is a chaff in the residence.,basaɾɛ bʰusə menaa.
তারা ঘড়ি ও খাবার কিনবে।,They will buy the watch and the food.,oŋko d̪ɔ gʰuɽi aɾ ɟɔmaʔ kiɾiɲa.
তুমি আসছ।,You is coming.,amɛm hiɟuʔɛd̪a.
কোমরবন্ধটি পরিষ্কার।,The girth is clean.,beɽband d̪ɔ sapʰaa.
তারা ঘড়ি ও মোবাইল ফোন কিনবে।,They will buy the watch and the mobile phone.,oŋko d̪ɔ gʰuɽi aɾ mɔbaĭl pʰon kiɾiɲa.
গতকাল সে পাঠ পড়ে স্কুলে খেলবে।,"Yesterday, he/she study the lesson and then play in the school.",hɔlaɾɛ uni sikʰnɘt̪ paɽha͡o̯kat̪ɛ iskulɾɛ gat̪ea.
তোমরা খাবার খাবে না।,You all do not eat the food.,apɛ d̪ɔ ɟɔmaʔ bapɛ ɟɔma.
মধুটি পরিষ্কার।,The honey is clean.,ɲɛlɛɾasa d̪ɔ sapʰaa.
আত্মীয়টি নতুন।,The kindred is new.,əpus d̪ɔ nɔwaa.
তাদের পিঁপড়া ভালো।,Their ant is good.,oŋkoaʔ muc̚ʔ d̪ɔ mɔ̃ɟa.
তারা শব্দ করছে।,They are sounding.,oŋkoko ɾaːgɛd̪a.
গতকাল আমি দুধ পান করে নদীতে কাজ করব।,"Yesterday, I drink the milk and then work in the river.",hɔlaɾɛ iɲ t̪o̯͡a ɲukat̪ɛ gaɖaɾɛ kɘmia.
আমার মাছ ভালো।,My fish is good.,iɲaʔ haku d̪ɔ mɔ̃ɟa.
"সে খাবার খাবে, কিন্তু খাবার খাবে না।","He/she will eat the food, but does not eat the food.",uni d̪ɔ ɟɔmaʔ ɟɔma mɛnkʰan ɟɔmaʔ bai̯ ɟɔma.
