bangla,english,santali
নদীর ধারে ঘুরতে যেতে পারেন।,You can go for a walk along the river.,gaɖa aɽe d̪aɽanɛm cala͡o̯ d̪aɽe.jaʔa.
নদী এখান থেকে [১০ মিনিট]/ [৫ কিলোমিটার] দূরে।,River is [10min]/ [5km] away from here.,gaɖa d̪ɔ nɔnɖɛ kʰɔn mɔ̃ɽɛ kilomitaɾ sɘŋgiɲ.
এখানকার [পান] অনেক বিখ্যাত।,The [betel leaf] from here is very famous.,nɔnɖɛnko ɾupcand̪a hako d̪ɔ ɘɖi sɔɾɔs.
ওই জায়গায় গিয়ে সুন্দর সুন্দর ছবি তুলতে পারবেন।,You can go to that place and take beautiful pictures.,ɔna ʈɔʈʰa cala͡o̯ kat̪ɛʲc̚ʔ ɘɖi mɔ̃ɟ mɔ̃ɟ pʰɔʈɔm ɾakap̚ʔ d̪aɽeo̯͡aʔa.
ওই রাস্তা দিয়ে না যাওয়াই ভালো।,Better not to go down that road.,ɔna ɖahaɾt̪ɛ d̪ɔ baŋ calaʔgi bʰagi.
আপনাকে আমাদের শহরে স্বাগতম।,Welcome to our city.,alɛ sɔhɔɾɾɛ am d̪ɔ sɘgun d̪aɾamlɛ bada͡i̯ oco.jɛʔme̯͡a.
আবার আসবেন।,Come again.,aɾhɔm hiɟuʔa.
আমি আগামীকাল চলে/ ফিরে যাচ্ছি।,I'm leaving / going back tomorrow.,iɲ d̪ɔ gapaɲ ɾu͡ɘɽkana.
আমি এখানে আবার আসতে চাই।,I would like to come back here again.,iɲ d̪ɔ aɾhɔ̃ nɔnɖe hiɟuʔiɲ mɛned̪a.
হোটেলের ভাড়া/ খরচ কেমন হয়?,How are the estimated hotel fares/costs?,hoʈel ɾe.jaʔ kʰɔɾɔc̚ʔd̪ɔ t̪inɘʔgan ho.jo.a
আশেপাশে কোথায় খাবারের দোকান আছে বলতে পারেন?,Can you tell me where there are restaurants nearby?,aɖepase ɔkakoɾɛ ɟɔmaʔ d̪okan mena.a lɘ͡i̯d̪aɽeo̯͡ɘɲɘm?
কোথায় খেতে গেলে ভালো হয়?,Where to go to eat better?,ɔkakoɾɛ ɟɔm ɲu cala͡o̯lɛnkʰan bʰage ho.jo.a?
এই শহরে ঘোরার/ দেখার জন্য কোন কোন জায়গা আছে?,What are the places to visit in this city?,no̯͡a sɔhɔɾɾɛ d̪aɽan lekan ɔkako ɟaga mena.a?
আপনি কয়দিন থাকবেন এখানে?,How long will you stay here?,am d̪ɔ nɔnɖɛ t̪inɘʔ d̪inɛm t̪ahɛ̃na?
দয়া করে ভেতরে আসুন।,Please come in.,d̪a.ja kat̪ɛ bʰit̪ɾi sɛʲc̚ʔ hiɟuʔmɛ.
দয়া করে ঠাণ্ডা কিছু নিন।,Please have something cold.,d̪a.ja kat̪ɛ ɾe̯͡aɽaʔ hat̪a͡o̯mɛ.
দয়া করে ঠাণ্ডা কিছু নেবেন।,Please have something cold.,d̪a.ja kat̪ɛ ɾe̯͡aɽaʔ hat̪a͡o̯mɛ.
দয়া করে ঠাণ্ডা কিছু নাও।,Please have something cold.,d̪a.ja kat̪ɛ ɾe̯͡aɽaʔ hat̪a͡o̯mɛ.
কিছুক্ষণ অপেক্ষা করুন।,Wait for a while.,mit̪̚ʔgʰɘɽi t̪ɘŋgi͡i̯mɛ.
ওই ঘটনাটি বলুন।,Tell that incident.,ɔnaʈaʔ ɟɘɽ lɘ͡i̯mɛ.
একটু আস্তে আস্তে কথা বলবেন।,Speak slowly.,t̪ʰɔɽa bɘ͡i̯ bɘ͡i̯ɲɔʔ kat̪ʰa ɾɔɽmɛ.
আবার আসবেন।,Come again.,aɾhɔ̃ hɘɟuʔmɛ.
আবার এসো।,Come again.,aɾhɔ̃ hɘɟuʔmɛ.
আপনি সেখানে যাবেন না।,Don't you go there.,ɔnɖɛ alom cala.a.
আর কথা বলবেন না।,Don't talk anymore.,aɾ alom ɾɔɽa.
আর কথা বলবে না।,Don't talk anymore.,aɾ alom ɾɔɽa.
দয়া করে এখানে আসবেন একটু?,Would you please come here for a bit?,d̪a.ja kat̪ɛ nɔnɖɛm hiɟuʔa?
কথা কম বলুন।,Speak less.,t̪ʰɔɽa macʰa ɾɔɽmɛ.
আপনারা খেতে বসুন।,Sit down to eat.,ɟɔɟɔm d̪uɽup̚ʔpɛ.
আবার বলো।,Say it again.,aɾhɔ̃ ɾɔɽmɛ.
তুমি আমার সাথে কথা বলবে না।,You will not talk to me.,iɲ sã͡o̯t̪ɛ alom ɾɔɽa.
বেশি কথা বলবেন না।,Don't talk too much.,ɟɘst̪i kat̪ʰa alom ɾɔɽa.
বেশি কথা বলবে না।,Don't talk too much.,ɟɘst̪i kat̪ʰa alom ɾɔɽa.
বেশিক্ষণ বাইরে থাকিস না।,Don't stay out too long.,ɘɖi gʰɘɽiʲc̚ʔ bahɾɛɾɛ alom t̪ahɛ̃na.
আমাকে সাহায্য করুন।,Help me.,gɔɽɔ̯͡ɘɲmɛ.
তাকে সাহায্য করুন।,Help him.,gɔɽɔa͡i̯mɛ.
বেশি কথা বোলো না।,Don't talk too much.,ɟɘst̪i kat̪ʰa alom ɾoɽa.
দয়া করে ভেতরে আসুন।,Please come in.,d̪a.ja kat̪ɛ bʰit̪ɾisɛʲc̚ʔ hiɟuʔmɛ.
বড়দের সম্মান করবে।,Respect the elders.,lɘʈuko manɔt̪̚ʔkom.
ছোটদের স্নেহ করবে।,Love the youngers.,kɘʈiʲc̚ko d̪ulɘɽkom.
ভালো করে পড়ালেখা করো।,Study well.,mɔ̃ɟt̪ɛ ɔɭɔʔ paɽhaʔmɛ.
তুমি আমার সাথে কথা বলবে না।,Don't you talk to me.,iɲ sã͡o̯t̪ɛ kat̪ʰa alom ɾɔɽa.
মায়ের ভাষাকে সবসময় ভালোবাসবে।,You will always love your mother tongue.,gɔgo pɘɾsi ɟa͡o̯ge d̪ulɘɽaʔmɛ.
আরও আস্তে হাঁটো।,Walk slower.,aɾhɔ̃ bɘ͡i̯ bɘ͡i̯t̪ɛ t̪aɽammɛ.
জোরে কথা বলুন।,Speak loudly.,ãʈ mɘcʰiʲc̚ʔ ɾɔɽmɛ.
জোরে কথা বলো।,Speak loudly.,ãʈ mɘcʰiʲc̚ʔ ɾɔɽmɛ.
দয়া করে জুতা খুলে ঢুকুন।,Please take your shoes off before entering.,d̪a.ja kat̪ɛ panahi bɔʲc̚ʔ kat̪ɛ bɔlɔʔmɛ.
আগামীকাল সকালে আমাদের সাথে নাস্তা কোরো।,Have breakfast with us tomorrow morning.,gapa set̪aʔ alɛ sã͡o̯t̪ɛ baski.jagɔʔmɛ.
আগামীকাল সকালে আমাদের সাথে নাস্তা করিস।,Have breakfast with us tomorrow morning.,gapa set̪aʔ alɛ sã͡o̯t̪ɛ baskj.jagɔʔmɛ.
আগামীকাল দুপুরে আমাদের সাথে খাবেন।,Eat/have lunch with us tomorrow noon.,gapa t̪ikin alɛ sã͡o̯t̪ɛ maɲɟanɔʔmɛ.
আগামীকাল আমাদের বাড়িতে দুপুরের খাবার খাবে।,Tomorrow you will have lunch at our home.,gapa alɛ ɔɽaʔɾɛ maɲɟanɔʔmɛ.
বেশিক্ষণ বাইরে থেকো না।,Don't stay out too long.,ɟɘst̪i gʰaɽiʲc̚ʔ bahɾɛɾɛ alom t̪ahɛ̃na.
তুমি আজ কাজে যেও না।,Don't you go to work today.,t̪eheɲ d̪ɔ kɘmi alɔm cala.a.
তোমাদের কি আজকে যাওয়া হবে না?,Aren't you going today?,apɛ d̪ɔ cɛt̪̚ʔ t̪ihiɲ calaʔ baŋ ho.joʔ t̪apɛ̯͡a?
চিঠিটা কোথায় কোথায় পাঠাতে হবে আর কোথায় কোথায় পাঠাতে হবে না?,Where should the letter be sent and where should it not be sent?,no̯͡a ciʈʰi ɔka ɔkaɾɛ kol ho.jo.a aɾ ɔka ɔkaɾɛ baŋ kol ho.jo.a?
খবরটা কাকে কাকে পাঠানো হয়নি?,Who has not been sent the news?,no̯͡a sɔŋbat̪̚ ɔko͡i̯koʈʰɛn baŋ kol ho.jakana?
ওরা কি এই কাজটা শেষ করতে পারবে না?,Could they not complete this job?,oŋko d̪ɔ cɛt̪̚ʔ no̯͡a kɘmi bako puɾɘ͡u̯ d̪aɽɛ.jaʔa?
খাবারগুলো খেতে ভালো হয়নি?,Is The food not good to eat?,ɟɔmaʔko baŋ sibilakana? #6 তুমি গতকাল কোথাও যাওনি কেন? Why didn't you go anywhere yesterday? [amd̪ɔ ced̪aʔ hɔla ɔkat̪ehɔ̃ bam cala͡o̯lena?
এবার বেশি বৃষ্টি হচ্ছে না কেন?,Why is it not raining much this time?,ni̯͡ɘ d̪ʰa͡o̯ d̪ɔ ced̪aʔ ɟɘst̪i ba͡i̯ d̪aʔed̪a?
আপনি তাকে আসতে বলেননি?,Didn't you ask him to come?,amd̪ɔ uni hiɟuʔ bam mɛnaka͡o̯de̯͡a?
আমি কতদিন ধরে ঘুরতে যাই না সেটা ভুলে গিয়েছি।,I forgot how long I haven't been travelling.,iɲ t̪inɘʔ d̪in kʰɔn d̪aɽan bɘɲ cala͡o̯akan ɔna d̪ɔɲ hiɽiɲăkad̪a.
আপনারা কে কে ওই জায়গায় যেতে রাজি না?,How many of you do not agree to go to that place?,apɛ ɔkɔ̯i ɔkɔ͡i̯ko ɔna ʈoʈʰa calaʔ bapɛ mened̪a?
তুমি কি আগামীকাল কোথাও যাবে না?,Aren't you going anywhere tomorrow?,amd̪ɔ cɛʈ̪̚ʔ gapa ɔkat̪ɛhɔ̃ bam cala.a?
তখন,Then,unɟɔkʰɛʲc̚ʔ
এখন,Now,nit̪̚ʔ
গতকাল,Yesterday,hɔla
কালকে/ আগামীকাল,Tomorrow,gapa
পরশু,The Day After Tomorrow,mand̪ʰɛɾ
এইবার,This Time,ni̯ɘd̪ʰa͡o̯
এইমাত্র,Just Now,nit̪̚ʔgi
এতোদিন,So Long,unɘʔd̪in
পরে,After,t̪a.jɔmt̪ɛ
সেদিন,That Day,unhilɘʔ
ডানদিকে,On The Right,ɟɔɟɔmsɛʲc̚ʔ
বামদিকে,On The Left,lɛŋgasɛʲc̚ʔ
পিছনে,Behind,t̪a.jɔmsɛc̚ʔ
কাছে,Near,suɾɾɛ
বহুদূরে,Far Away,ɘɖi sɘŋgiɲ
মধ্যে,In Between,t̪alaɾɛ
সোজা,Straight,suɟhi
একা,Alone,ɛskaɾ
জোরে,Loudly,ãʈ̚t̪ɛ
তাড়াতাড়ি,Quickly,usɘɾat̪ɛ
ধীরে,Slowly,bɘ͡i̯bɘ͡i̯t̪ɛ
বেশিরভাগ,Mostly,ɟɘst̪igi
বেশি,More,ɟɘst̪i
কম,Less,t̪ʰɔɽa
আজকে,Today,t̪eheɲ
একদিন,One Day,mit̪̚ʔd̪in
সামনে,In Front,samaŋɾɛ
ওপরে,Above,cet̪anɾɛ
নিচে,Down,lat̪aɾɾɛ
পাশে,Beside,aɽeɾɛ
দূরে,Away,sɘŋgiɲɾɛ
বাইরে,Outside,bahɾɛɾɛ
ভিতরে,Inside,bʰit̪ɾiɾɛ
অনেক,A Lot,a͡i̯ma
চতুর্থ,The Fourth,ponaʔ
পঞ্চম,The Fifth,mɔ̃ɽɛ̃.jaʔ
ষষ্ঠ,The Sixth,t̪uɾu.jaʔ
সপ্তম,The Seventh,e͡a.jaʔ
অষ্টম,The Eighth,iɾɘlaʔ
নবম,The Ninth,aɾɛ.jaʔ
দশম,The Tenth,gɛːlaʔ
প্রথম,The First,pɘhilaʔ
দ্বিতীয়,The Second,d̪osaɾaʔ
তৃতীয়,The Third,t̪esaɾaʔ
আমি ফুটবল খেলি আর আমার ভাই ক্রিকেট খেলে।,I play football and my brother plays cricket.,iɲd̪ɔ pʰuʈbɔliɲ gat̪e.a aɾ iɲ bɔ͡i̯ha d̪ɔ kɾikeʈɛ gat̪e.a.
"আমাদের পাড়ায় প্রতিমাসে গানের আসর হয়, কিন্তু মারামারি লাগলে অনেকদিন বন্ধ থাকে।","In our neighbourhood, music sessions are held every month, but whenever a fight breaks out, it gets closed for a long time.","alɛ at̪oɾɛ cand̪oɾɛ mit̪̚ʔd̪ʰa͡o̯ seɾeɲ akʰɾa hojo.a, mɛnkʰan d̪ald̪apal ho͡i̯lɛnkʰan ai̯͡mad̪in bɔnd̪o t̪ahɛ̃na."
"এখন আমার কাছে টাকা নাই, কারণ আমি গতকাল একটা ঘড়ি কিনেছি।","I don’t have money right now, because I bought a watch yesterday.","nit̪̚ʔ d̪ɔ iɲ ʈʰɛʲc̚ʔ ʈaka bɘnu.a, ced̪aʔ ɟe hɔla miʔʈɛn gʰuɽiɲ kiɾiɲakad̪a."
গাছ লাগানো ভালো এবং গাছের যত্ন নেওয়াও উচিত।,Planting trees is good and trees should also be taken care of.,d̪aɾe ɾɔhɔ͡i̯ d̪ɔ bʰage kɘmi kana aɾ d̪aɾe ɟɔt̪ɔn hɔ̃ ɟɘɾuɽge̯͡a.
"আমি নাস্তা করিনি, কারণ আমার কাছে টাকা নেই।",I have not had breakfast because I don't have money.,"iɲ d̪ɔ baske.jaʔ bɘɲ ɟɔmakad̪a, ced̪aʔ ɟe iɲ ʈʰɛʲc̚ʔ ʈaka bɘnu.a."
"আমি অনেক্ষণ বসে আছি, তবু তার দেখা নেই।","I have been sitting for a long time, but still no sign of him.",iɲ d̪ɔ ɘɖi gʰɘɽiʲc̚ʔiɲ t̪ɘŋgi.jakadi̯͡a t̪a͡o̯hɔ̃ bɘɲ ɲɛlɛkana.
"যদিও তার সাথে আমার সম্পর্ক ভালো না, কিন্তু আমি তাকে সম্মান করি।","Although I don't have a good relationship with him, I respect him.",uni sã͡o̯t̪ɛ iɲaʔ sɔmpɔɾkɔ baŋ bʰage̯͡a mɛnkʰan iɲ d̪ɔ uniɲ man manɔt̪e̯͡a.
লোকটি ধনী কিন্তু অসুখী।,That man is rich but unhappy.,uni hɔɽ d̪ɔ͡i̯ kisɘ̃ɽɾɛhɔ̃͡i̯ suk̚ bɘnuʔt̪a.ja.
"আমরা ফুটবল খেলতে গেলাম, নদীতে গোসল করলাম, এরপর বাড়িতে এসে খেতে বসলাম।","We went to play football, bathed in the river, then came home and sat to eat.","alɛd̪ɔ pʰuʈbɔl gat̪elɛ cala͡o̯lena, gaɖaɾɛlɛ ɖɘbɾɘ͡i̯ĕna inɘ t̪a.jɔm ɔɽaʔɾɛ hɛʲc̚ʔ kat̪ɛ ɟɔɟɔmlɛ d̪uɽup̚ʔĕna."
"আমার নতুন স্কুল অনেক সুন্দর, কিন্তু সেটা আমার বাড়ি থেকে অনেক দূরে।","My new school is very nice, but it is very far from my home.","iɲaʔ nao̯͡a iskul d̪ɔ ɘɖi mɔ̃ːɟa, mɛnkʰan ɔna d̪ɔ alɛ ɔɽaʔkʰɔʲc̚ʔ ɘɖi sɘŋgiɲa."
"আমার মায়ের রান্না অনেক সুস্বাদু, কিন্তু আমার ছোটভাই তা খেতে পছন্দ করে না।","My mother's cooking is very tasty, but my younger brother does not like to eat it.","iɲ gɔgɔ̯͡aʔ isin basaŋ d̪ɔ ɘɖigi sibila, mɛnkʰan iɲɾɛn kɘʈiʲc̚ʔ bɔ͡i̯ha d̪ɔ ɔna ba͡i̯ kusiɔ̯͡aʔa."
"আগামী ছুটিতে আমি ঢাকা যাবো, নয়ত সাইকেল চালানো শিখবো।",Next vacation I will either go to Dhaka or learn to ride a bicycle.,hĭɟuʔkan cʰuʈiɾɛ iɲd̪ɔ ɖʰakaɲ cala.a aɾ baŋkʰan sa͡i̯kel cala͡o̯iɲ ciːd̪a.
"আমি বাংলায় কথা বলি, আবার ইংরেজিতেও কথা বলতে পারি।",I speak Bengali and can also speak in English.,iɲd̪ɔ baŋlat̪ɛ kat̪ʰaɲ ɾɔːɽa aɾ iŋɾeɟit̪ɛhɔ̃ katʰaɲ ɾɔɽ d̪aɽeo̯͡aʔa.
আমি কাজ করছি আর সুমন ঘুমাচ্ছে।,I am working and Suman is sleeping.,iɲ d̪ɔɲ kɘmi kana aɾ sumɔn d̪ɔ͡i̯ ɟɘpit̪̚ʔed̪a.
"মেলায় হাঁটছিলাম, হঠাৎ তাকে দেখলাম।","I was walking in the fair, and suddenly I saw him.","mɛlaɾɛɲ d̪aɽankan t̪ahɛ̃na, ac̚kagi uniɲ ɲɛlɲamked̪e̯͡a."
"আপনি হয়ত বিশ্বাস করবেন না, কিন্তু এটাই সত্যি।","You may not believe it, but it's true.","am d̪ɔ pasɛn bam pɘt̪jɘ͡o̯ăʔa, mɛnkʰan no̯͡age sɘɾi.jaʔkana."
"তুমি গেলে যাও, আমি যাবো না।","You may go, I won't go.","am calaʔ kʰaʲc̚ʔ calaʔmɛ, iɲ d̪ɔ baŋ."
"সে যে চুরি করেছে, এটা তার চেহারা দেখেই বুঝেছি।",I understood from his facial expressions that he had stolen.,uni.jaʔ muʈʰɘn ɲɛlt̪igiɲ buɟhɘ͡o̯d̪a ɟe uni͡i̯ komɽo̯͡akaʔa.
"আমার বাবা যখন অনেক ছোট, তখন আমার দাদা মারা যান।",My grandfather died when my father was very young.,iɲ baba ɘɖi kɘʈiʲc̚ʔ t̪ahɛ̃kanɾegi iɲ haɽamba d̪ɔ͡i̯ gɔʲc̚ʔĕna.
এই যে বাড়িটি দেখছেন এটি আমাদের।,This house you are seeing is ours.,nɔʔɔ͡i̯pɛ ɲɛlɛʔ ɔɽaʔ d̪ɔ alɛ.jaʔkana.
যে কথাটা তুমি বললে সেটা আমি জানি।,The thing you said is known by me.,ɔkaʈaʔ kat̪ʰam ɾɔɽkɛt̪̚ʔ ɔna d̪ɔɲ baɖa͡i̯ge̯͡a.
যদিও কাজটি কঠিন তবুও আমি করার চেষ্টা করবো।,"Although the task is difficult, still I will try to do it.",koʈʰin kɘmikanɾɛhɔ̃ no̯͡ad̪ɔɲ kuɾumuʈu.ja.
বাড়ি যেহেতু এসেছ তাহলে চলো ঘুরে আসি।,"Since you have come home, let's roam around.",ɔɽaʔɛm hɛʲc̚ʔakanɾɛd̪ɔ d̪ɛlalaŋ d̪ãɽa ɘgu.ja.
"যেহেতু তুমি ভালো আছো, তাহলে চলো ফুটবল খেলতে যাই।","Since you are healthy, let's go play football.","am mam besge, d̪ɛla ad̪ɔ pʰuʈbɔl gat̪elaŋ cala.a."
"আমি যে গানটা গাইলাম, সেটা আমাদের ভাষার একটি ভালোবাসার গান।",The song I sang is a love song in our language.,alɛ.jaʔ pɘɾsit̪ɛ ɔkaʈaʔiɲ siɾiɲkɛt̪̚ʔ ɔna d̪ɔ d̪ulɘɾ ɾe.jaʔ siɾiɲ kana.
"আবার যদি আসেন, আমার জন্য চকলেট নিয়ে আসবেন।","If you come again, bring chocolate for me.",aɾhɔm hɛʲc̚ʔlɛnkʰan iɲ lɘgiʔ cɔk̚lɛʈ ɘgu t̪aɾa͡i̯mɛ.
তুমি যে এখানে থাকো সেটি আমি জানতাম।,I knew you live here.,"am nɔnɖɛm t̪ahɛ̃n, no̯͡ad̪ɔɲ baɽ͡ai̯kan t̪ahɛ̃ge̯͡a."
তুমি যে কাজটি করতে পারবে সেই বিশ্বাস আমার ছিল।,I had faith that you could do it.,iɲaʔ pɘt̪.jɘ͡o̯ t̪ahɛ̃kana ɟe am no̯͡am kɘmi d̪aɽe.jaʔa.
আপনি যদি না পারেন তাহলে কাজটি করবেন না।,"If you can't, don't do the work.",am bam d̪aɽe.jaʔkʰan ɔna kɘmi d̪ɔ alɔm kɘmi̯͡a.
যে মেয়েটি রান্না করছে সে আমার বোন।,The girl who's been cooking is my sister.,isin basaŋɛt̪̚ʔkan kuɽi d̪ɔ: iɲ bɔ͡i̯ha kana͡i̯.
তুমি আসবে না তাই বলে কি আমি যাবো না?,"You will not come, that doesn’t mean that I will not go?",am bam hiɟuʔt̪ɛ d̪ɔ iɲhɔ̃ bɘɲ cala.a?
"যেই আমি বাড়ি আসলাম, সাথে সাথে আমার মা আমাকে বকা শুরু করলেন।","As soon as I came home, my mother started scolding me.",iɲ ɔɽaʔ hɛʲc̚ʔ t̪ɔɾage iɲ gɔgɔ d̪ɔ iɲ ɛgɛɾɛ ɛhɔp̚ʔena.
"যেহেতু আমি রাতে না ঘুমিয়ে পড়াশুনা করি, এ কারণে পরীক্ষায় ভালো ফল করেছি।","As I study sleeplessly at night, I got good results in the exam because of this reason.",ɲind̪ɘ baŋ ɟɘpit̪̚ʔkat̪ɛɲ paɽhaʔt̪ɛ biɖɘ͡o̯ɾɛ iɲ boge kuɽɘ͡.jiɲ ɲamked̪a.
"সবসময় পড়াশুনো করো, তাহলে তোমাকে মা-বাবা ভালো ছেলে বলবে।","Always study, then your parents will call you a good boy.","ɟa͡o̯gʰɘɽi paɽhaʔmɛ, ɛnkʰan am gɔgɔbaba d̪ɔ bʰage gid̪ɾɘkin mɛt̪ama."
আমি যে এলাকায় থাকি সেখানকার অনেকেই আমাকে চিনে।,Many people in the area where I live know me.,iɲ ɔka nakʰaɾɛɲ t̪ahɛ̃nkan ɔnɖɛnko ɟɔt̪ɔhɔɽko opoɾomiɲɘ.
"তোমাকে যে বললাম, তুমি আসলে না কেন?","I said to you to come, why didn’t you?",amiɲ met̪aʔmɛɾɛhɔ̃ ced̪aʔ bam hɛʲc̚ʔlena?
গতকাল যে স্কুল বন্ধ ছিল সেটি আমি জানতাম না।,I did not know that the school was closed yesterday.,hɔla ɟe iskul bɔnd̪ɔ t̪ahɛ̃kan ɔna bɘɲ baɖa͡i̯kan t̪ahɛ̃na.
আমরা দুই ভাই তিন বোন।,We are two brothers and three sisters.,alɛ d̪ɔ baɾ bɔ͡i̯ha kɔɽa aɾ pɛ bɔ͡i̯ha kuɽi.
আমার স্কুল এখান থেকে তিন মাইল দূরে।,My school is three miles from here.,iɲaʔ iskul d̪ɔ nɔnɖɛ kʰɔn pɛ ma.jel sɘŋgiɲa.
এখন আমার কাছে কোনও টাকা নাই।,I have no money at this moment.,nit̪̚ʔ iɲʈʰɛʲc̚ʔ d̪ɔ cɛʈ̪̚ʔ ʈaka hɔ̃ bɘnu.a.
বাজারে জিনিসপত্রের দাম অনেক বেশি।,The price of goods in the market is very high.,baɟaɾɾɛ ɟinis pot̪̚ɾɔ ɾe.jaʔ d̪am ɘɖi ɟɘst̪i.
বারো মাসে এক বছর।,Twelve months make a year.,gɛlbaɾ cand̪oɾɛ mit̪̚ʔ sɛɾma ho.jo.a.
সাত দিনে এক সপ্তাহ হয়।,Seven days make a week.,i.ja͡i̯ mahaɾɛ mit̪̚ʔ hap̚t̪a ho.jo.a.
আমাদের পাড়ায় প্রতিমাসে গানের আসর হয়।,There occurs a music session every month in our neighborhood.,alɛ at̪oɾɛ cand̪oɾɛ mit̪ʔʈɛʲc̚ʔ seiɾiɲ akʰɽa ho.jo.a.
ভাষার মাধ্যমে আমরা মনের কথা প্রকাশ করি।,Through language we express our thoughts.,pɘɾsit̪ɛ abu d̪ɔ abu͡aʔ mɔn ɾe.jaʔ katʰabo ɟɘhiɾa.
খেলাধুলা শরীরের জন্য ভালো।,Sports are good for the body,gat̪i kʰilɘʈ d̪ɔ hɔɽmɔ lagit̪̚ʔ bʰage̯͡a.
পানির অপর নাম জীবন।,Another name for water is life.,d̪aʔ ɾe.jaʔ aɾ miʈɛʲc̚ʔ ɲut̪um d̪ɔ ɟi.jon.
আমার মায়ের রান্না অনেক সুস্বাদু।,My mother's cooking is very delicious.,iɲ gɔgɔ.ɔ̯͡aʔ isin basaŋ d̪ɔ ɘdigi sibila.
আমার বিড়াল খুব মিউ মিউ করে।,My cat meows a lot.,iɲɾɛn pusi ɘɖi mia͡o̯ mia͡o̯ɛ ɾaːga.
আমি আমার নতুন স্কুলকে অনেক পছন্দ করি।,I like my new school very much.,iɲd̪ɔ iɲaʔ nao̯͡a iskul ɘɖi aʈiɲ kusi.o̯͡aʔa.
প্রতিদিন সকালে বাবা আর ভাই ফসল দেখতে ক্ষেতে যায়।,Every morning father and brother go to the field to see the crops.,d̪inɘm set̪aʔɾɛ iɲ baba aɾ iɲ bo͡i̯ha baɽgiɾɛ abat̪̚ ɲɛlkin cala.a.
শহরে গেলে আমরা বাংলায় কথা বলি।,When we go to town we speak Bengali.,sɔhɔɾɾɛ cala͡o̯lɛnkʰan abo d̪ɔ baŋlat̪ɛbon ɾɔːɽa.
রাতে ভাত খেলেই আমার ঘুম পায়।,Eating rice at night makes me sleepy.,kid̪uʔ ɟɔm lekʰangi iɲ d̪ɔ d̪ud̪̚ɽumiɲɘ.
নদীর মাছ অনেক সুস্বাদু।,Fishes of river are very tasty.,gaɖaɾɛn hako d̪ɔko sibila.
সে কি আজ আসতে পারবে?,Can he/ she come today?,uni d̪ɔ t̪eheɲɛ hɛʲc̚ʔ d̪aɽeja.a?
তুমি কি ঝাল খেতে পছন্দ করো?,Do you like to eat spicy food?,amd̪ɔ ɟʰal ɟɔmɛm kusi.jaʔa?
চায়ে কি চিনি দেবো?,Should I put sugar in the tea?,caː ɾɛɲ cini.jaʔa?
তরকারিতে লবন দিয়েছো?,Did you add salt to the curry?,ut̪uɾɛm buluŋka͡o̯d̪a?
তুমি বইটা পড়েছো?,Have you read the book?,amd̪ɔ no̯͡a put̪ʰim paɽha͡o̯akad̪a?
সে আজ কেনো গেলো না?,Why didn't he/ she go today?,uni d̪ɔ t̪eheɲ ced̪aʔ ba͡i̯ cala͡o̯lena?
তুমি কখন বাড়ি ফিরবে?,When will you return home?,am t̪inɾɛ ɔɽaʔɛm ɾu̯͡ɘɽa?
আমি কোন দিকে যাবো?,Which direction do I go?,iɲ d̪ɔ ɔkasɛʲc̚ʔiɲ cala.a?
আমাকে কোন দিকে যেতে হবে?,Which direction should I go?,iɲ d̪ɔ ɔka sɛʲc̚ʔ calaʔ ho.joʔt̪iɲɘ?
তুমি আগামীকাল কখন বাড়ি আসবে?,When will you come home tomorrow?,am d̪ɔ gapa t̪inɾɛ ɔɽaʔɛm hiɟu.a?
হাসছো কেন?,Why are you laughing?,ced̪aʔɛm land̪a͡i̯d̪a?
তোমরা হাসছিলে কেন?,Why were you laughing?,ced̪aʔpɛ land̪a͡i̯ɛʔkan t̪ahɛ̃kana?
কোথায় যাচ্ছো?,Where are you going?,ɔkat̪ɛm calaʔkana?
কোথায় গিয়েছিলে?,Where did you go?,ɔkat̪ɛm cala͡o̯lena?
কোথায় যাবে?,Where will you go?,ɔakt̪ɛm cala.a?
তুমি কোথায় খেলতে যাবে?,Where will you go to play?,am d̪ɔ ɔkaɾɛ gat̪eʔɛm cala.a?
কেউ বাড়ি আছেন?,Is anyone at home?,ɔɽaʔɾɛ ɟahã͡i̯ mɛnaʔpe.ja?
কেউ বাড়ি/ বাড়িতে থাকবে?,Will anyone be at home?,ɔɽaʔɾɛ ɟahã͡i̯pɛ t̪ahɛ̃na?
তুমি সকাল কয়টায় ঘুম থেকে উঠো?,What time do you wake up in the morning?,am d̪ɔ set̪aʔ t̪inɾɛm beɾet̪̚ʔa?
তুই কেমন আছিস?,How are you?,am cɛt̪̚ʔlɛka menama?
তুমি কী করছো?,What are you doing?,am cɛʔɛm ceka͡i̯d̪a?
আপনি কী করবেন?,What will you do?,am cɛʔɛm ceka.ja?
কী করতে আপনার সবচেয়ে ভালো লাগে?,What do you like to do the most?,cɛt̪̚ʔ kɘmi am d̪ɔ ɟɘst̪im kusi.jaʔa?
আপনারা ওই গল্পটি শুনে হাসছিলেন কেন?,Why were you laughing when you heard that story?,ɔna ɟɘɽ aɲɟɔm kat̪ɛʔ paɛ d̪ɔ ced̪aʔpɛ land̪a.jɛʔkan t̪ahɛ̃kana?
আপনার পরিবারে কে কে আছেন?,Who is in your family?,amaʔ gʰaɾɔ̃ɟɾɛ okɔ͡i̯ko menaʔko̯͡a?
